"Points:0","Points:1","Points:2"
-0.18566,-0.057832,-0.049318
-0.18376,-0.019498,-0.073561
-0.18489,-0.062401,-0.043435
-0.18698,-0.040873,-0.06401
-0.19002,-0.071911,-0.024823
-0.18919,-0.072489,-0.02338
-0.18386,-0.065193,-0.039008
-0.18634,-0.075675,-0.0056967
-0.19148,-0.073381,-0.020211
-0.18122,-0.017481,-0.052915
-0.18155,-0.0030537,-0.031105
-0.18189,-0.037725,-0.033044
-0.18141,-0.029952,-0.0074347
-0.18215,-0.027507,-0.037031
-0.18208,-0.015789,-0.053054
-0.18185,-0.012102,-0.036458
-0.18158,-0.0035768,-0.025693
-0.18226,-0.014798,-0.040873
-0.18249,-0.03822,-0.016755
-0.18162,-0.019364,-0.028647
-0.18262,-0.053107,-0.00874
-0.1825,-0.029077,-0.018159
-0.18253,-0.022866,-0.033074
-0.18214,-0.013174,-0.027191
-0.18274,-0.024227,-0.029467
-0.1827,-0.033474,-0.0061304
-0.18258,-0.04611,-0.016593
-0.18174,-0.016968,-0.015329
-0.1823,-0.0061077,-0.021526
-0.18251,-0.0044234,-0.025979
-0.18329,-0.03407,-0.036331
-0.1834,-0.045217,-0.018667
-0.18283,-0.011671,-0.043038
-0.18257,-0.038536,-0.031676
-0.18317,-0.0084898,-0.055867
-0.18351,-0.0023889,-0.059662
-0.18307,-0.015438,-0.028623
-0.18372,-0.0644,-0.038401
-0.1836,-0.0075113,-0.07286
-0.18395,-0.043125,-0.060442
-0.18404,-0.058369,-0.04482
-0.18226,-0.0023334,-0.019722
-0.18404,-0.044089,-0.021983
-0.18422,-0.015707,-0.068152
-0.18339,-0.00054097,-0.035636
-0.18391,-0.064269,-0.03128
-0.18184,-0.0043533,-0.02013
-0.18436,-0.052579,-0.025401
-0.18396,-0.0020993,-0.04988
-0.18414,-0.021123,-0.021452
-0.18452,-0.045205,-0.0097382
-0.18394,-0.028161,-0.017465
-0.1845,-0.022631,-0.037173
-0.18453,-0.055797,-0.0092807
-0.18433,-0.04682,-0.032941
-0.18383,-0.059261,-0.016649
-0.18409,-0.020398,-0.014675
-0.18452,-0.022654,-0.043953
-0.18463,-0.059853,-0.030906
-0.18484,-0.059693,-0.024649
-0.1847,-0.049553,-0.012181
-0.18466,-0.050342,-0.052104
-0.18154,-0.013801,-0.0051596
-0.18401,-0.022403,-0.033755
-0.18471,-0.016413,-0.032843
-0.18461,-0.017042,-0.025309
-0.18427,-0.066502,-0.035748
-0.18457,-0.0042992,-0.028371
-0.18432,-0.056086,-0.04288
-0.18468,-0.0049545,-0.047876
-0.18515,-0.055124,-0.047133
-0.18282,0.0021516,-0.019097
-0.18415,-0.024282,-0.0090333
-0.18529,-0.05671,-0.0051997
-0.18528,-0.0060382,-0.048215
-0.18515,-0.0015325,-0.048189
-0.18538,-0.067119,-0.010162
-0.18526,-0.051322,-0.019955
-0.18494,-0.023556,-0.015221
-0.18512,-0.054996,-0.0035719
-0.18518,-0.03271,-0.041996
-0.18544,-0.0020636,-0.073956
-0.18571,-0.011478,-0.046104
-0.18538,-0.023081,-0.058368
-0.18474,-0.0030214,-0.06911
-0.18476,-0.022699,-0.010381
-0.18571,-0.042816,-0.005023
-0.18508,-0.037264,-0.025057
-0.1857,-0.055382,-0.006836
-0.18532,-0.056903,-0.025339
-0.1815,-0.0017719,-0.011131
-0.18249,-0.012462,-0.0065019
-0.18406,-0.0034011,-0.019635
-0.18427,-0.0011999,-0.020857
-0.18546,-0.063359,-0.0073598
-0.18562,-0.034976,-0.021903
-0.18573,-0.063562,-0.007888
-0.18552,-0.013956,-0.071376
-0.18593,-0.031574,-0.0047959
-0.18574,-0.041161,-0.015534
-0.18554,-2.1447e-06,-0.05131
-0.186,-0.049978,-0.027111
-0.18581,-0.024762,-0.036823
-0.18592,-0.04114,-0.0081491
-0.18599,-0.0087326,-0.069123
-0.18604,-0.015257,-0.024377
-0.18415,-0.001297,-0.017193
-0.18638,-0.046593,-0.047269
-0.18655,-0.055253,-0.039754
-0.18549,-0.034015,-0.059301
-0.1862,-0.034261,-0.04629
-0.18579,-0.032693,-0.058686
-0.18624,-0.0095882,-0.074719
-0.18673,-0.051831,-0.050478
-0.18616,-0.039798,-0.029502
-0.18654,-0.0163,-0.071565
-0.18637,-0.043857,-0.033485
-0.18641,-0.00092911,-0.030176
-0.19133,-0.019034,-0.073548
-0.18586,-0.039391,-0.043581
-0.18638,-0.024499,-0.0059464
-0.18355,-0.012925,-0.008192
-0.18638,-0.016228,-0.025216
-0.19119,-0.015339,-0.074288
-0.18683,-0.045104,-0.0056859
-0.18635,-0.0032347,-0.067391
-0.18662,-0.030331,-0.038585
-0.18651,-0.050595,-0.0052318
-0.18683,-0.074057,-0.013086
-0.18716,-0.0044496,-0.070804
-0.18671,-0.0061081,-0.035077
-0.18692,-0.015468,-0.066712
-0.18687,-0.05219,-0.022387
-0.18193,-0.0044501,-0.0031199
-0.18734,-0.055533,-0.013282
-0.18645,-0.031261,-0.024882
-0.18897,-0.066943,-0.035327
-0.18278,-0.0033558,-0.0060594
-0.18757,-0.012469,-0.058106
-0.18742,-0.056787,-0.046069
-0.18498,-0.010086,-0.011774
-0.18709,-0.023979,-0.018074
