"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18596,-0.017712,-0.074066,295.6,2.6485,0.8973,-0.20143,1.0981,0.83051,0.21444,1,0.0019044,1e-05,0,5.236e-13,48067
-0.18754,-0.047677,-0.059088,297.91,7.1942,1.0098,-1.1083,0.60711,0.019606,-0.48409,1,0.0012069,1e-05,0,5.236e-13,48009
-0.18393,-0.0024549,-0.075742,298.59,11.128,1.8284,-0.20719,0.045913,-0.16977,-0.37487,1,0.0010727,1e-05,0,5.236e-13,60011
-0.18133,-0.03657,-0.023922,299.02,16.08,4.1335,-5.1553,0,0,0,1,0.001015,1e-05,0,5.236e-13,60011
-0.1816,-0.0020037,-0.048412,299.08,15.865,6.1858,0.53616,0,0,0,1,0.0010119,1e-05,0,5.236e-13,60011
-0.1816,-0.0064108,-0.048561,299.13,15.843,6.1377,-0.040487,0,0,0,1,0.0010034,1e-05,0,5.236e-13,60011
-0.18146,-0.022311,-0.041268,299.15,15.936,5.8326,-2.4155,0,0,0,1,0.0009962,1e-05,0,5.236e-13,60011
-0.1819,-0.039958,-0.0096795,299.18,16.129,2.3224,-6.5165,0,0,0,1,0.00098154,1e-05,0,5.236e-13,60011
-0.18174,-0.015442,-0.052358,299.36,15.693,5.3785,-0.81001,0,0,0,1,0.00097211,1e-05,0,5.236e-13,60011
-0.18163,-0.026869,-0.019622,299.17,16.687,4.7487,-5.8726,0,0,0,1,0.00096779,1e-05,0,5.236e-13,60011
-0.18163,-0.013044,-0.047733,299.34,15.818,5.9839,-0.8811,0,0,0,1,0.00096583,1e-05,0,5.236e-13,60011
-0.18183,-0.040622,-0.020546,299.32,15.97,3.4834,-5.3636,0,0,0,1,0.00096412,1e-05,0,5.236e-13,60011
-0.18166,-0.032754,-0.020473,299.29,16.3,4.2107,-5.6964,0,0,0,1,0.00095784,1e-05,0,5.236e-13,60011
-0.18213,-0.041748,-0.022451,299.43,15.901,3.5144,-5.0566,0,0,0,1,0.0009476,1e-05,0,5.236e-13,48009
-0.18227,-0.022078,-0.040199,299.42,15.936,5.8757,-2.5311,0,0,0,1,0.00094684,1e-05,0,5.236e-13,60011
-0.18216,-0.0079335,-0.056109,299.58,15.633,5.1817,0.015656,0,0,0,1,0.0009365,1e-05,0,5.236e-13,60011
-0.18251,-0.0055225,-0.036159,299.47,16.45,7.1092,-0.626,0,0,0,1,0.0009238,1e-05,0,5.236e-13,60011
-0.18249,-0.016275,-0.054014,299.68,15.626,5.1434,-0.79919,0,0,0,1,0.00092036,1e-05,0,5.236e-13,48009
-0.18298,-0.033446,-0.037134,299.62,15.8,4.7797,-3.4063,0,0,0,1,0.00091995,1e-05,0,5.236e-13,48009
-0.18254,-0.0043861,-0.035548,299.55,16.495,7.1768,-0.4389,0,0,0,1,0.00090966,1e-05,0,5.236e-13,60011
-0.18172,-0.024005,-0.008448,299.52,17.709,2.5727,-6.8767,0,0,0,1,0.00089984,1e-05,0,5.236e-13,60011
-0.18192,-0.022631,-0.010684,299.52,17.764,3.2377,-6.5549,0,0,0,1,0.00089866,1e-05,0,5.236e-13,48009
-0.18218,-0.016989,-0.022245,299.55,17.277,6.0751,-4.4641,0,0,0,1,0.0008969,1e-05,0,5.236e-13,48009
-0.18334,-0.01366,-0.047867,299.78,15.748,5.8955,-0.96076,0,0,0,1,0.00089238,1e-05,0,5.236e-13,60011
-0.18245,-0.028501,-0.0038402,299.6,17.176,1.2479,-7.372,0,0,0,1,0.00089081,1e-05,0,5.236e-13,60011
-0.18325,-0.010535,-0.048549,299.81,15.747,5.9632,-0.56226,0,0,0,1,0.00088727,1e-05,0,5.236e-13,60011
-0.18295,-0.029731,-0.0159,299.74,16.543,3.8888,-6.374,0,0,0,1,0.00087562,1e-05,0,5.236e-13,60011
-0.18388,-0.03945,-0.054487,300.07,15.37,3.5997,-2.0696,0,0,0,1,0.00087051,1e-05,0,5.236e-13,60011
-0.18337,-0.0367,-0.022903,299.87,15.98,3.9736,-5.2344,0,0,0,1,0.00086947,1e-05,0,5.236e-13,60011
-0.18384,-0.049508,-0.012963,299.97,15.727,2.1218,-5.2368,0,0,0,1,0.00086515,1e-05,0,5.236e-13,60011
-0.18325,-0.015571,-0.049808,300.01,15.676,5.576,-1.0003,0,0,0,1,0.00085899,1e-05,0,5.236e-13,60011
-0.18375,-0.050359,-0.015873,300.04,15.697,2.3054,-4.9342,0,0,0,1,0.00085729,1e-05,0,5.236e-13,60011
-0.18363,-0.012456,-0.031775,299.87,16.548,6.8822,-2.38,0,0,0,1,0.00085585,1e-05,0,5.236e-13,60011
-0.18374,-0.043116,-0.013298,299.98,15.866,2.544,-5.8717,0,0,0,1,0.0008548,1e-05,0,5.236e-13,60011
-0.18394,-0.0048756,-0.050763,300.04,15.692,5.8045,0.18872,0,0,0,1,0.00085258,1e-05,0,5.236e-13,60011
-0.18303,-0.0099169,-0.03201,299.89,16.622,7.0661,-1.8763,0,0,0,1,0.00085166,1e-05,0,5.236e-13,60011
-0.18362,-0.0041116,-0.033295,299.91,16.605,7.2754,-0.53391,0,0,0,1,0.00084872,1e-05,0,5.236e-13,48009
-0.18363,-0.013388,-0.043297,300.02,15.857,6.3031,-1.2915,0,0,0,1,0.00084839,1e-05,0,5.236e-13,60011
-0.18406,-0.052078,-0.045219,300.25,15.318,2.9018,-2.7718,0,0,0,1,0.00084433,1e-05,0,5.236e-13,60011
-0.18363,-0.039474,-0.02056,300.04,15.903,3.5195,-5.3778,0,0,0,1,0.0008442,1e-05,0,5.236e-13,48009
-0.18269,-0.014869,-0.026637,299.92,16.906,6.6392,-3.4712,0,0,0,1,0.00084244,1e-05,0,5.236e-13,48009
-0.18408,-0.052764,-0.037127,300.23,15.417,2.9162,-3.2278,0,0,0,1,0.00084219,1e-05,0,5.236e-13,48009
-0.18389,-0.035353,-0.032729,300.09,15.791,4.5346,-3.9575,0,0,0,1,0.0008421,1e-05,0,5.236e-13,60011
-0.18261,-0.0039518,-0.023031,299.89,18.021,6.9214,-1.1398,0,0,0,1,0.00084014,1e-05,0,5.236e-13,60011
-0.18389,-0.042891,-0.019144,300.1,15.815,3.1079,-5.3014,0,0,0,1,0.00083925,1e-05,0,5.236e-13,48009
-0.18368,-0.0060738,-0.048321,300.11,15.733,6.0783,-0.025769,0,0,0,1,0.00083825,1e-05,0,5.236e-13,48009
-0.18386,-0.019826,-0.027418,299.98,16.517,6.1318,-4.059,0,0,0,1,0.000838,1e-05,0,5.236e-13,48009
-0.18373,-0.028854,-0.033196,300.08,15.925,5.2448,-3.8159,0,0,0,1,0.00083634,1e-05,0,5.236e-13,60011
-0.18421,-0.032292,-0.031183,300.1,15.878,4.8374,-4.1766,0,0,0,1,0.00083582,1e-05,0,5.236e-13,60011
-0.1841,-0.021275,-0.040583,300.14,15.832,5.8569,-2.4089,0,0,0,1,0.00083071,1e-05,0,5.236e-13,60011
-0.18459,-0.018789,-0.070483,300.39,15.279,3.6509,-0.77404,0,0,0,1,0.00082652,1e-05,0,5.236e-13,60011
-0.18452,-0.017452,-0.059912,300.32,15.46,4.4799,-0.71022,0,0,0,1,0.00082587,1e-05,0,5.236e-13,60011
-0.18441,-0.0097568,-0.060708,300.33,15.479,4.6073,-0.13057,0,0,0,1,0.00082325,1e-05,0,5.236e-13,48009
-0.18441,-0.016962,-0.063655,300.39,15.378,4.1881,-0.62168,0,0,0,1,0.00081958,1e-05,0,5.236e-13,60011
-0.18473,-0.032343,-0.063913,300.43,15.283,3.4976,-1.4975,0,0,0,1,0.00081919,1e-05,0,5.236e-13,60011
-0.18394,-0.04591,-0.037092,300.34,15.532,3.4942,-3.2918,0,0,0,1,0.00081831,1e-05,0,5.236e-13,48009
-0.18246,-0.011744,-0.014568,300.02,18.845,4.832,-3.9504,0,0,0,1,0.00081697,1e-05,0,5.236e-13,48009
-0.18336,-0.014456,-0.021914,300.06,17.446,6.1894,-3.9708,0,0,0,1,0.00081562,1e-05,0,5.236e-13,48009
-0.18393,-0.02301,-0.025485,300.14,16.443,5.6584,-4.6423,0,0,0,1,0.00081395,1e-05,0,5.236e-13,60011
-0.18448,-0.03413,-0.032525,300.27,15.786,4.6447,-3.986,0,0,0,1,0.00081291,1e-05,0,5.236e-13,60011
-0.18458,-0.018261,-0.037407,300.22,16.007,6.1968,-2.4653,0,0,0,1,0.00081278,1e-05,0,5.236e-13,60011
-0.18448,-0.048969,-0.011166,300.33,15.694,1.9724,-5.3865,0,0,0,1,0.00080867,1e-05,0,5.236e-13,48009
-0.18335,-0.0049524,-0.028769,300.13,17.058,7.3117,-1.0437,0,0,0,1,0.00080859,1e-05,0,5.236e-13,60011
-0.18429,-0.0092023,-0.033629,300.19,16.439,6.9984,-1.5557,0,0,0,1,0.00080767,1e-05,0,5.236e-13,60011
-0.18473,-0.039399,-0.0068025,300.26,16.006,1.8366,-6.6431,0,0,0,1,0.00080492,1e-05,0,5.236e-13,60011
-0.18472,-0.036473,-0.01908,300.29,15.988,3.6124,-5.6722,0,0,0,1,0.0008023,1e-05,0,5.236e-13,60011
-0.18172,-0.010064,-0.0091867,300.14,19.777,3.2613,-3.7092,0,0,0,1,0.00079811,1e-05,0,5.236e-13,60011
-0.18453,-0.040983,-0.022466,300.39,15.78,3.4997,-5.0367,0,0,0,1,0.00079405,1e-05,0,5.236e-13,60011
-0.19099,-0.03473,-0.067537,300.59,4.53,1.0342,-0.093048,0.16024,0.14224,0.35163,1,0.00079091,1e-05,0,5.236e-13,60011
-0.18466,-0.069341,-0.020059,300.63,15.218,1.2506,-3.6009,0,0,0,1,0.00079026,1e-05,0,5.236e-13,60011
-0.18473,-0.028371,-0.02755,300.36,16.09,5.0723,-4.5422,0,0,0,1,0.00078973,1e-05,0,5.236e-13,60011
-0.18482,-0.046697,-0.056647,300.64,15.259,2.9336,-2.209,0,0,0,1,0.00078882,1e-05,0,5.236e-13,60011
-0.18528,-0.062789,-0.0039546,300.59,15.411,0.79318,-4.3538,0,0,0,1,0.00078567,1e-05,0,5.236e-13,60011
-0.18452,-0.0075058,-0.033243,300.36,16.468,7.09,-1.2531,0,0,0,1,0.00078211,1e-05,0,5.236e-13,48009
-0.18486,-0.051962,-0.02003,300.57,15.58,2.4303,-4.4498,0,0,0,1,0.00077978,1e-05,0,5.236e-13,60011
-0.18258,-0.0089836,-0.0024263,300.27,20.352,0.82433,-3.4513,0,0,0,1,0.00077926,1e-05,0,5.236e-13,60011
-0.18502,-0.0052136,-0.061842,300.65,15.445,4.5101,0.19176,0,0,0,1,0.00077559,1e-05,0,5.236e-13,60011
-0.18543,-0.043366,-0.060446,300.74,15.334,2.9823,-1.9965,0,0,0,1,0.0007735,1e-05,0,5.236e-13,60011
-0.18445,-0.059188,-0.016145,300.67,15.439,1.7451,-4.188,0,0,0,1,0.00077297,1e-05,0,5.236e-13,48009
-0.18518,-0.049399,-0.047085,300.73,15.309,3.0322,-2.6366,0,0,0,1,0.00077096,1e-05,0,5.236e-13,48009
-0.18492,-0.044756,-0.054041,300.76,15.266,3.1697,-2.2301,0,0,0,1,0.00076931,1e-05,0,5.236e-13,60011
-0.18559,-0.031534,-0.062991,300.76,15.289,3.5647,-1.4708,0,0,0,1,0.00076879,1e-05,0,5.236e-13,60011
-0.18235,-0.0088924,-0.0057869,300.35,20.179,2.089,-3.3869,0,0,0,1,0.00076721,1e-05,0,5.236e-13,60011
-0.18466,-0.030912,-0.064432,300.78,15.233,3.514,-1.4053,0,0,0,1,0.00076669,1e-05,0,5.236e-13,60011
-0.18474,-0.029266,-0.012942,300.46,16.562,3.3516,-6.6316,0,0,0,1,0.00076512,1e-05,0,5.236e-13,60011
-0.18556,-0.069436,-0.026364,300.86,15.28,1.3896,-3.364,0,0,0,1,0.00075635,1e-05,0,5.236e-13,60011
-0.18538,-0.043568,-0.007072,300.64,15.765,1.7521,-6.2003,0,0,0,1,0.00075464,1e-05,0,5.236e-13,60011
-0.18399,-0.0040992,-0.021734,300.49,18.092,6.6558,-1.2113,0,0,0,1,0.00075127,1e-05,0,5.236e-13,48009
-0.18364,-0.0027098,-0.014562,300.48,19.434,5.1145,-1.0087,0,0,0,1,0.00075069,1e-05,0,5.236e-13,48009
-0.18556,-0.043544,-0.018477,300.7,15.705,2.9425,-5.2566,0,0,0,1,0.00075027,1e-05,0,5.236e-13,48009
-0.18353,-0.0097264,-0.014479,300.48,18.962,4.8643,-3.3252,0,0,0,1,0.00075002,1e-05,0,5.236e-13,48009
-0.18547,-0.052652,-0.032399,300.86,15.425,2.8162,-3.5007,0,0,0,1,0.00074574,1e-05,0,5.236e-13,60011
-0.18522,-0.043925,-0.015014,300.75,15.717,2.6107,-5.5514,0,0,0,1,0.00074168,1e-05,0,5.236e-13,60011
-0.18542,-0.014152,-0.038509,300.72,15.955,6.3858,-1.8077,0,0,0,1,0.00073998,1e-05,0,5.236e-13,60011
-0.18562,-0.033305,-0.018054,300.69,16.062,3.7666,-5.877,0,0,0,1,0.00073959,1e-05,0,5.236e-13,60011
-0.18524,-0.02389,-0.064404,300.96,15.271,3.8232,-1.0366,0,0,0,1,0.0007387,1e-05,0,5.236e-13,48009
-0.18537,-0.046346,-0.050343,300.97,15.278,3.1617,-2.4151,0,0,0,1,0.00073745,1e-05,0,5.236e-13,48009
