"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18488,-0.073298,-0.020387,295.75,3.2588,0.1149,-0.53764,0.080283,-0.083908,-0.029814,1,0.0017921,1e-05,0,5.236e-13,59761
-0.18602,-0.040424,-0.064556,296.05,0.88634,-0.018486,0.024203,0.11579,0.17154,-0.15796,1,0.0016575,1e-05,0,5.236e-13,59688
-0.19094,-0.048448,-0.058713,296.35,0.86549,0.11913,-0.015069,0.30965,-0.14235,-0.14615,1,0.0016355,1e-05,0,5.236e-13,59688
-0.18856,-0.070404,-0.028615,296.91,4.7332,0.40036,-0.5917,-0.25368,-0.022141,0.0014523,1,0.0014147,1e-05,0,5.236e-13,59688
-0.19155,-0.045891,-0.060718,298.25,1.8937,0.28642,-0.21291,0.24631,-0.073752,0.20608,1,0.001211,1e-05,0,5.236e-13,59688
-0.1891,-0.074916,-0.013363,298.04,2.1539,0.16357,-0.32944,0.20234,0.0037945,0.0066705,1,0.001196,1e-05,0,5.236e-13,59688
-0.18609,-0.040834,-0.063926,297.88,8.3662,2.0914,-1.1839,-0.30955,1.6418,0.27622,1,0.0011925,1e-05,0,5.236e-13,47750
-0.18592,-0.02985,-0.069665,298.39,8.6202,1.8708,-0.60441,-0.081567,0.29678,0.5601,1,0.0011367,1e-05,0,5.236e-13,59688
-0.1815,-0.051525,-0.0079774,299.17,15.792,1.6213,-5.4016,0,0,0,1,0.0010027,1e-05,0,5.236e-13,59688
-0.18129,-0.00486,-0.048466,299.19,15.863,6.156,0.18059,0,0,0,1,0.00099083,1e-05,0,5.236e-13,59688
-0.18169,-0.036157,-0.011665,299.15,16.256,2.8108,-6.8642,0,0,0,1,0.00097937,1e-05,0,5.236e-13,59688
-0.18191,-0.02034,-0.046961,299.3,15.791,5.5956,-1.6064,0,0,0,1,0.00097728,1e-05,0,5.236e-13,59688
-0.18216,-0.0029624,-0.048828,299.29,15.838,6.1074,0.4145,0,0,0,1,0.00097507,1e-05,0,5.236e-13,59688
-0.18135,-0.021179,-0.019698,299.07,17.006,5.7786,-6.1419,0,0,0,1,0.00097299,1e-05,0,5.236e-13,59688
-0.18215,-0.0278,-0.047243,299.37,15.703,4.9688,-2.0712,0,0,0,1,0.00097103,1e-05,0,5.236e-13,59688
-0.18164,-0.018765,-0.02532,299.13,16.708,6.6791,-4.7474,0,0,0,1,0.00096895,1e-05,0,5.236e-13,59688
