"Points:0","Points:1","Points:2"
-0.1843,-0.0075356,-0.075722
-0.18843,-0.0585,-0.048738
-0.18403,-0.074664,-0.012508
-0.19138,-0.04385,-0.062192
-0.18988,-0.03064,-0.069579
-0.18679,-0.029849,-0.069876
-0.18146,-0.00068504,-0.057791
-0.18159,-0.033988,-0.033843
-0.1815,-0.040375,-0.0069006
-0.18163,-0.01815,-0.039619
-0.18169,-0.03989,-0.0071299
-0.1817,-0.039766,-0.013377
-0.1819,-0.03604,-0.027614
-0.1821,-0.027607,-0.03854
-0.18145,-0.021256,-0.040932
-0.18141,-0.015234,-0.020774
-0.18183,-0.052808,-0.0071787
-0.18242,-0.0045746,-0.056193
-0.1818,-0.01678,-0.046001
-0.18219,0.00093498,-0.033849
-0.19025,-0.013144,-0.074957
-0.18247,-0.010091,-0.04661
-0.18261,-0.041092,-0.021364
-0.18245,-0.045969,-0.01463
-0.18359,-0.056742,-0.049768
-0.18257,-0.019241,-0.026067
-0.1826,-0.037269,-0.012059
-0.18157,-0.0097505,-0.02109
-0.18271,-0.016184,-0.04446
-0.18313,-0.0092963,-0.032067
-0.18362,-0.0017937,-0.053917
-0.18313,-0.024508,-0.030618
-0.18263,-0.017857,-0.015041
-0.18376,-0.05453,-0.0039446
-0.18323,-0.004491,-0.047076
-0.18395,-0.020223,-0.066324
-0.18397,-0.017018,-0.057703
-0.18326,-0.027168,-0.019442
-0.18296,-0.012578,-0.036281
-0.18306,-0.022649,-0.029918
-0.18417,-0.059237,-0.024263
-0.18318,-0.035031,-0.0045468
-0.18376,-0.0083336,-0.061689
-0.1833,-0.050983,-0.014874
-0.18407,-0.058509,-0.0315
-0.18372,-0.063989,-0.0064066
-0.18405,-0.045646,-0.051313
-0.18402,-0.035514,-0.063878
-0.1838,-0.0049557,-0.049211
-0.18406,-0.049316,-0.042299
-0.18397,-0.054512,-0.0067303
-0.18412,-0.043682,-0.017804
-0.1842,-0.013068,-0.063806
-0.18441,-0.0073275,-0.070684
-0.18416,-0.049912,-0.047692
-0.18452,-0.032058,-0.037149
-0.18463,-0.03988,-0.050286
-0.18448,-0.059869,-0.0032236
-0.18397,-0.037429,-0.0058514
-0.18437,-0.0056058,-0.040717
-0.18451,-0.016326,-0.057115
-0.18455,-0.032402,-0.010659
-0.18436,-0.042427,-0.017611
-0.18462,-0.0079562,-0.066099
-0.184,-0.022374,-0.018407
-0.18468,-0.020323,-0.071692
-0.18513,-0.017158,-0.057664
-0.18478,-0.021813,-0.037627
-0.1849,-0.0085106,-0.04418
-0.18504,-0.0078485,-0.048721
-0.1851,-0.034451,-0.043504
-0.18523,-0.035688,-0.041749
-0.18496,-0.053933,-0.031061
-0.18512,-0.041741,-0.04765
-0.18429,-0.02947,-0.014528
-0.18518,-0.026542,-0.064779
-0.18516,-0.064463,-0.0055732
-0.1845,-0.0056851,-0.02509
-0.18508,-0.051732,-0.046972
-0.18512,-0.017716,-0.045233
-0.18558,-0.017112,-0.073086
-0.18517,-0.061845,-0.020891
-0.18476,-0.025719,-0.024337
-0.18487,-0.010978,-0.030095
-0.18514,-0.071632,-0.018731
-0.18486,-0.017854,-0.014427
-0.18541,-0.052958,-0.0040952
-0.18538,-0.0037065,-0.053981
-0.18576,-0.036746,-0.050339
-0.18516,-0.025011,-0.029904
-0.18529,-0.046597,-0.012934
-0.18504,-0.035629,-0.062311
-0.18551,-0.039603,-0.03823
-0.18559,-0.035759,-0.033531
-0.18564,-0.05843,-0.044123
-0.18307,-0.0068742,-0.01594
-0.18382,-0.0046696,-0.019837
-0.18558,-0.0095852,-0.034998
-0.18567,-0.0040182,-0.040873
-0.18549,-0.056088,-0.049644
-0.18537,-0.027774,-0.033014
-0.18566,-0.058474,-0.020736
-0.1855,-0.0092825,-0.022415
-0.18541,-0.05474,-0.011123
-0.18603,-0.034744,-0.06333
-0.18599,-0.060236,-0.022957
-0.18595,-0.0020559,-0.041472
-0.18607,-0.044382,-0.058464
-0.18553,-0.029038,-0.044758
-0.18615,-0.037238,-0.023432
-0.18593,-0.058117,-0.019459
-0.18613,-0.056077,-0.038193
-0.18629,-0.0060512,-0.046298
-0.18529,-0.022911,-0.029612
-0.18838,-0.018483,-0.073584
-0.18156,-0.0068011,-0.0073964
-0.186,-0.03134,-0.010019
-0.18164,-0.006282,-0.0052027
-0.18626,-0.036072,-0.065844
-0.18611,-0.041777,-0.050372
-0.18646,-0.040852,-0.016348
-0.18598,-0.035487,-0.037942
-0.18621,-0.041336,-0.017198
-0.18647,-0.02145,-0.025017
-0.18653,-0.044394,-0.059246
-0.18621,-0.02237,-0.028726
-0.18687,-0.0059354,-0.053281
-0.1869,-0.049357,-0.024737
-0.18663,-0.027354,-0.020654
-0.18631,-0.064723,-0.021959
-0.18663,-0.015249,-0.047491
-0.18636,-0.017022,-0.06145
-0.18711,-0.062481,-0.031242
-0.18696,-0.037534,-0.0081581
-0.1871,-0.0066863,-0.062353
-0.18461,-0.014207,-0.0041468
-0.18712,-0.053627,-0.0082556
-0.18686,-0.043807,-0.024097
-0.18675,-0.025411,-0.049522
-0.18616,-0.028454,-0.051606
-0.18694,-0.010197,-0.066692
-0.18733,-0.066444,-0.0085714
-0.18661,-0.025569,-0.016104
-0.18715,-0.05923,-0.045176
-0.18688,-0.0058011,-0.072281
-0.18715,-0.0053195,-0.065545
-0.18431,-0.031447,-0.004998
-0.187,-0.012388,-0.050535
-0.1864,-0.0069135,-0.024565
-0.18742,-0.045187,-0.040675
-0.18461,-0.00661,-0.013367
-0.18764,-0.059824,-0.028647
-0.18746,-0.027113,-0.041045
-0.18628,-0.011465,-0.015091
-0.187,-0.055198,-0.02373
-0.18737,-0.013466,-0.022462
-0.18474,0.00057276,-0.012664
-0.18764,-0.065161,-0.019886
-0.18722,-0.057432,-0.029567
-0.18732,-0.047584,-0.0052126
-0.18765,-0.056336,-0.031296
-0.18742,-0.025647,-0.048239
-0.18761,-0.0023389,-0.045759
-0.18699,-0.036606,-0.062952
-0.18336,0.0020522,-0.0025327
-0.18813,-0.022154,-0.067594
-0.18549,-0.0050102,-0.014955
-0.18597,-0.0096463,-0.012076
-0.18773,-0.068186,-0.013585
-0.19118,-0.035539,-0.067137
-0.18815,-0.072589,-0.0032035
-0.18805,-0.043577,-0.036663
-0.18788,-0.070075,-0.0050499
-0.18773,-0.063913,-0.0056858
-0.18796,-0.049852,-0.037819
-0.18796,-0.041856,-0.021409
-0.18409,-0.0013589,-0.0030526
-0.18807,-0.039332,-0.058305
-0.1848,-0.0063469,-0.0037529
-0.18809,-0.0066064,-0.038798
-0.18797,-0.032995,-0.047874
-0.18767,-0.04848,-0.020928
-0.1859,-0.0064687,-0.0088621
-0.18785,-0.0026464,-0.020832
-0.18816,-0.072542,-0.012875
-0.18858,-0.0048886,-0.042474
-0.18808,-0.031209,-0.0092001
-0.18758,-0.0036966,-0.019916
-0.18878,-0.04992,-0.055713
-0.18865,-0.013131,-0.057485
-0.1887,-0.045263,-0.0038711
-0.18847,-0.026253,-0.0057229
-0.18886,-0.021805,-0.066432
-0.18816,-0.01737,-0.030112
-0.18876,-0.026644,-0.047734
-0.18879,-0.00017858,-0.056206
-0.18892,-0.012711,-0.029415
-0.18861,-0.014241,-0.066591
-0.18906,-0.0027611,-0.055528
-0.18891,-0.060805,-0.003778
-0.18901,-0.049865,-0.054993
-0.18893,-0.017852,-0.059163
-0.18923,-0.055549,-0.022233
-0.189,-0.015538,-0.058862
-0.18915,-0.04094,-0.012286
-0.18866,-0.038275,-0.057071
-0.18939,-0.065292,-0.0032069
-0.18914,-0.0067856,-0.02725
-0.18915,-0.013479,-0.035624
-0.18919,-0.011646,-0.063133
-0.18915,-0.047695,-0.0086468
-0.18909,-0.069282,-0.015535
-0.18863,-0.029484,-0.0048835
-0.18905,-0.018287,-0.021017
-0.18924,-0.03945,-0.031921
-0.18935,-0.0069809,-0.062938
-0.18932,-0.037492,-0.039044
-0.18912,-0.0045308,-0.05097
-0.18928,-0.046518,-0.0065248
-0.18876,-0.058394,-0.04432
-0.18971,-0.0014466,-0.054122
-0.18714,-0.0030453,-0.008771
-0.18975,-0.011796,-0.044923
-0.18929,-0.05045,-0.053762
-0.18992,-0.041851,-0.04066
-0.1886,-0.041364,-0.058956
-0.18968,-0.053525,-0.014115
-0.1876,-0.0033283,-0.01084
-0.1897,-0.053887,-0.046694
-0.18903,-0.06318,-0.0014228
-0.18975,-0.038277,-0.043686
-0.18957,-0.049618,-0.010363
-0.19019,-0.019612,-0.057173
-0.18986,-0.041638,-0.0030154
-0.19025,-0.017641,-0.054986
-0.19012,-0.046952,-0.02738
-0.18978,-0.015046,-0.073057
-0.18993,-0.036011,-0.030886
-0.19008,-0.048737,-0.014808
-0.18879,-0.010577,-0.011891
-0.19005,-0.0051493,-0.056292
-0.19012,-0.011827,-0.036209
-0.18451,-0.034878,-0.0017618
-0.1899,-0.019501,-0.061637
-0.18805,-0.0076394,-0.0083593
-0.19032,-0.030836,-0.037466
-0.1901,-0.010895,-0.046613
-0.1904,-0.043092,-0.062167
-0.19052,-0.047792,-0.028657
-0.19005,-0.068025,-0.013535
-0.19006,-0.065366,-0.030118
-0.18997,-0.046274,-0.0061071
-0.19009,-0.064433,-0.0074196
-0.19079,-0.0067872,-0.064873
-0.19026,-0.017523,-0.026628
-0.19092,-0.0122,-0.068344
-0.19022,-0.032465,-0.0027537
-0.19055,-0.026225,-0.053726
-0.19057,-0.044803,-0.0092899
-0.19077,-0.040719,-0.044523
-0.18836,0.00078311,-0.0079969
-0.19055,-0.04757,-0.051594
-0.1907,-0.00054219,-0.071004
-0.18364,-0.042048,-0.0015001
-0.19095,-0.060524,-0.0068217
-0.19067,-0.016828,-0.039122
-0.19073,0.0014404,-0.037971
-0.19056,-0.030115,-0.030333
-0.19108,-0.056308,-0.037522
-0.19097,-0.0098699,-0.043014
-0.19081,-0.0092668,-0.073266
-0.19048,-0.0080779,-0.023072
-0.19059,-0.031206,-0.0339
-0.19046,-0.062966,-0.010864
-0.19061,-0.030556,-0.037824
-0.19079,0.0011887,-0.025952
-0.18884,-0.0012025,-0.0076884
-0.19136,-0.036351,-0.041117
-0.1914,-0.028682,-0.06357
-0.19113,-0.00021315,-0.056331
-0.19123,-0.0040232,-0.027363
-0.19081,-0.0108,-0.024369
-0.18699,-0.020544,-0.0021186
-0.19094,-0.030959,-0.01833
-0.19122,-0.04694,-0.0019169
-0.19106,-0.035266,-0.0081584
-0.19118,-0.049986,-0.016727
-0.19155,-0.047568,-0.044779
-0.19133,-0.053485,-0.010247
-0.19134,-0.057834,-0.040595
-0.19139,-0.03148,-0.032982
-0.19184,-0.031502,-0.03112
-0.19122,-0.0088475,-0.020947
-0.1901,-0.0038683,-0.012598
