"Points:0","Points:1","Points:2"
-0.18488,-0.073298,-0.020387
-0.18602,-0.040424,-0.064556
-0.19094,-0.048448,-0.058713
-0.18856,-0.070404,-0.028615
-0.19155,-0.045891,-0.060718
-0.1891,-0.074916,-0.013363
-0.18609,-0.040834,-0.063926
-0.18592,-0.02985,-0.069665
-0.1815,-0.051525,-0.0079774
-0.18129,-0.00486,-0.048466
-0.18169,-0.036157,-0.011665
-0.18191,-0.02034,-0.046961
-0.18216,-0.0029624,-0.048828
-0.18135,-0.021179,-0.019698
-0.18215,-0.0278,-0.047243
-0.18164,-0.018765,-0.02532
-0.18181,-0.013035,-0.043467
-0.18138,-0.0033985,-0.032099
-0.18189,-0.022197,-0.038672
-0.18136,-0.0024263,-0.030676
-0.18235,-0.042973,-0.026019
-0.18262,-0.018048,-0.043899
-0.18218,-0.0054332,-0.040127
-0.18284,-0.013447,-0.04343
-0.18241,-0.026162,-0.033371
-0.18211,-0.029136,-0.02112
-0.18272,-0.049705,-0.013843
-0.18203,-0.033811,-0.014771
-0.1831,-0.042485,-0.026422
-0.18227,-0.011706,-0.045635
-0.18303,-0.014362,-0.045293
-0.18231,-0.015472,-0.026236
-0.18307,-0.042557,-0.011319
-0.18238,-0.019356,-0.024498
-0.18269,-0.036298,-0.030147
-0.18334,-0.04503,-0.016225
-0.1834,-0.040693,-0.024925
-0.18324,-0.016158,-0.03378
-0.18281,-0.019758,-0.020287
-0.18362,-0.039592,-0.033855
-0.18314,-0.021088,-0.050217
-0.1832,-0.037574,-0.029945
-0.18339,-0.036813,-0.024485
-0.18361,-0.0095187,-0.05246
-0.18339,-0.039779,-0.0073447
-0.18278,-0.0031215,-0.028408
-0.18419,-0.063042,-0.025166
-0.18366,-0.00030536,-0.044739
-0.18363,-0.047899,-0.016477
-0.1835,0.00066505,-0.029722
-0.18412,-0.053488,-0.020901
-0.18143,0.0013669,-0.019544
-0.1843,-0.013019,-0.067944
-0.18425,-0.04865,-0.032062
-0.18846,-0.062175,-0.043796
-0.18371,-0.015657,-0.038517
-0.18403,-0.051199,-0.02452
-0.18353,-0.0070425,-0.033803
-0.18372,-0.026904,-0.022911
-0.184,-0.046511,-0.013747
-0.18428,-0.015032,-0.037597
-0.1839,-0.031471,-0.066488
-0.18493,-0.01358,-0.063037
-0.18493,-0.015859,-0.072168
-0.18461,-0.01836,-0.037961
-0.1847,-0.069325,-0.014659
-0.18437,-0.034009,-0.01855
-0.18441,-0.0061417,-0.064701
-0.1848,-0.059096,-0.021849
-0.18492,-0.041987,-0.019943
-0.18466,-8.2443e-05,-0.053641
-0.1847,-0.030921,-0.038348
-0.18509,-0.057025,-0.041433
-0.18429,-0.020482,-0.024203
-0.18517,-0.02169,-0.044323
-0.18466,-0.02465,-0.068781
-0.18499,-0.038812,-0.020425
-0.18379,-0.015224,-0.014572
-0.1846,-0.0025553,-0.038873
-0.18536,-0.0064099,-0.070681
-0.18516,-0.020653,-0.053867
-0.18499,-0.031637,-0.029655
-0.18405,-0.0055178,-0.022676
-0.18512,-0.0071991,-0.052398
-0.18451,-0.019591,-0.013921
-0.18557,-0.0028013,-0.046417
-0.19233,-0.032924,-0.068643
-0.18579,-0.068608,-0.0094457
-0.18553,-0.049241,-0.050108
-0.18519,-0.036902,-0.012173
-0.18586,-0.016674,-0.070099
-0.1851,-0.0065657,-0.031625
-0.18606,-0.059619,-0.020054
-0.18567,-0.055835,-0.034289
-0.18574,-0.0083717,-0.040472
-0.18567,-0.030062,-0.062709
-0.18604,-0.045685,-0.044797
-0.18633,-0.041047,-0.040504
-0.18598,-0.050494,-0.027041
-0.18559,-0.03415,-0.018095
-0.18601,-0.041103,-0.0045434
-0.18462,-0.022688,-0.005963
-0.18584,-0.024536,-0.027175
-0.18628,-0.045953,-0.029992
-0.1856,-0.021124,-0.032479
-0.1834,0.0019086,-0.013033
-0.18625,-0.030378,-0.045753
-0.18318,-0.0054425,-0.0041679
-0.18525,-0.020737,-0.0065673
-0.18637,-0.0037723,-0.075405
-0.18552,-0.025194,-0.025194
-0.18526,-0.0009995,-0.023006
-0.18607,-0.041093,-0.0039315
-0.18662,-0.0014688,-0.04988
-0.18647,-0.018148,-0.059096
-0.18643,0.00018628,-0.045798
-0.18622,-0.044677,-0.021681
-0.18686,-0.042043,-0.057079
-0.18686,-0.032086,-0.039878
-0.18677,-0.074575,-0.0054878
-0.18541,-0.015246,-0.011739
-0.18678,-0.054098,-0.011262
-0.18497,-0.0057479,-0.017791
-0.18542,-0.020311,-0.0024883
-0.18594,-0.033461,-0.058336
-0.18494,-0.037437,-0.065319
-0.18693,-0.025232,-0.058839
-0.18675,-0.015296,-0.030051
-0.18655,-0.0011449,-0.044605
-0.18701,-0.016816,-0.035614
-0.18632,-0.029478,-0.0053734
-0.18722,-0.043871,-0.0037154
-0.18584,-0.018414,-0.019415
-0.18668,-0.012709,-0.040146
-0.18673,-0.064673,-0.0026449
-0.1871,-0.047221,-0.034229
-0.18687,-0.0080858,-0.066256
-0.18405,-0.00075304,-0.007266
-0.18643,-0.0007243,-0.022639
-0.18711,-0.012227,-0.050547
-0.18717,-0.060565,-0.02345
-0.18709,-0.028862,-0.0077986
-0.18721,-0.043986,-0.019184
-0.18637,-0.067517,-0.033708
-0.18739,-0.036118,-0.065256
-0.18776,-0.060286,-0.019348
-0.18729,-0.0034662,-0.049389
-0.18752,-0.0071409,-0.070521
-0.18703,-0.032065,-0.056107
