"Points:0","Points:1","Points:2"
-0.18458,-0.069797,-0.030258
-0.18789,-0.073932,-0.01775
-0.18689,-0.048338,-0.058549
-0.19003,-0.018738,-0.073701
-0.18511,-0.017668,-0.07364
-0.18158,-0.02835,-0.037701
-0.18167,-0.0021771,-0.053284
-0.18144,-0.048819,-0.010756
-0.1816,-0.041969,-0.0061437
-0.18182,0.0012225,-0.03367
-0.18167,-0.029587,-0.0052897
-0.18209,-0.034343,-0.025341
-0.18705,-0.015045,-0.074303
-0.18195,-0.022017,-0.038062
-0.18132,-0.02576,-0.027391
-0.18239,-0.02317,-0.048251
-0.18242,-0.043274,-0.013161
-0.18274,-0.01216,-0.056796
-0.18277,-0.041614,-0.012712
-0.18255,-0.031613,-0.030468
-0.18243,-0.036242,-0.011707
-0.18274,-0.026856,-0.018083
-0.18264,-0.015848,-0.044947
-0.18285,-0.03548,-0.018429
-0.18278,-0.010897,-0.033571
-0.18284,-0.00058049,-0.038635
-0.18294,-0.026739,-0.025096
-0.18328,-0.011931,-0.050036
-0.18259,-0.0039871,-0.036937
-0.18182,-0.022431,-0.0077834
-0.18299,-0.0004932,-0.028682
-0.18382,-0.067311,-0.031014
-0.18347,-0.045235,-0.015332
-0.1834,-0.022451,-0.018987
-0.18398,-0.057355,-0.030128
-0.18358,-0.051576,-0.0061095
-0.18385,-0.039784,-0.062153
-0.18433,-0.02828,-0.064575
-0.18381,-0.063359,-0.022137
-0.18361,-0.0021722,-0.03767
-0.18409,-0.015827,-0.04823
-0.18379,-0.039469,-0.0063551
-0.18376,-0.065421,-0.0084835
-0.18339,-0.030244,-0.036242
-0.1836,-0.03168,-0.010553
-0.18381,-0.033378,-0.052655
-0.18402,-0.059401,-0.01542
-0.18447,-0.015767,-0.071353
-0.18421,-0.039767,-0.024752
-0.18422,-0.03184,-0.041672
-0.18387,-0.050383,-0.056223
-0.18368,-0.015506,-0.034054
-0.18449,-0.0013918,-0.074669
-0.18446,-0.034499,-0.055131
-0.18168,-0.011708,-0.0096628
-0.18395,-0.0020283,-0.066646
-0.18421,-0.043069,-0.01784
-0.18438,-0.056485,-0.012864
-0.18412,-0.040983,-0.043888
-0.1842,-0.035527,-0.011066
-0.1848,-0.046241,-0.013749
-0.18462,-0.03673,-0.057025
-0.18447,-0.057601,-0.030666
-0.18466,-0.0047259,-0.070406
-0.18456,-0.017208,-0.055169
-0.18447,-0.034429,-0.0051825
-0.18477,-0.032521,-0.053704
-0.18512,-0.046141,-0.044415
-0.18464,-0.042495,-0.011019
-0.18405,-0.026478,-0.037229
-0.18514,-0.065151,-0.0052523
-0.18439,-0.0045321,-0.033471
-0.18504,-0.060097,-0.017026
-0.18477,-0.058373,-0.016381
-0.18478,-0.025288,-0.067094
-0.18516,-0.030782,-0.038432
-0.18489,-0.065807,-0.023447
-0.18469,-0.011292,-0.040081
-0.18541,-0.056908,-0.028885
-0.18544,-0.07073,-0.0048402
