"Points:0","Points:1","Points:2"
-0.19083,-0.038091,-0.065922
-0.18948,-0.073182,-0.020314
-0.18917,-0.046151,-0.060536
-0.18388,-0.019278,-0.073296
-0.18649,-0.0032227,-0.075735
-0.18161,-0.022982,-0.043959
-0.18186,-0.0048808,-0.048705
-0.18188,-0.040479,-0.0099144
-0.1823,-0.015294,-0.051411
-0.18186,-0.026849,-0.020861
-0.18226,-0.013286,-0.048112
-0.182,-0.040581,-0.020791
-0.18175,-0.032695,-0.020365
-0.18445,-0.067592,-0.034001
-0.18251,-0.042638,-0.022145
-0.18243,-0.02302,-0.036934
-0.18183,-0.025538,-0.013252
-0.18272,-0.006449,-0.056361
-0.18219,-0.0063776,-0.036236
-0.1829,-0.013419,-0.05572
-0.18287,-0.03368,-0.036941
-0.18261,-0.0036613,-0.035384
-0.1837,-0.06914,-0.022628
-0.18271,-0.025803,-0.0092096
-0.18204,-0.023634,-0.011656
-0.18284,-0.018223,-0.022576
-0.18311,-0.013496,-0.047847
-0.18282,-0.029175,-0.0051736
-0.18345,-0.010378,-0.048582
-0.1827,-0.029823,-0.01595
-0.18361,-0.040214,-0.062214
-0.18356,-0.037998,-0.022815
-0.1835,-0.049713,-0.012494
-0.18334,-0.015467,-0.050107
-0.18344,-0.050878,-0.014965
-0.1841,-0.058934,-0.025152
-0.18372,-0.01188,-0.033195
-0.18354,-0.043881,-0.012071
-0.18357,-0.0066469,-0.051195
-0.1836,-0.010497,-0.03134
-0.1838,-0.011136,-0.043898
-0.18411,-0.038537,-0.020822
-0.18357,-0.013952,-0.0265
-0.18447,-0.053231,-0.036882
-0.18425,-0.035999,-0.032928
-0.1827,-0.0036903,-0.023599
-0.18421,-0.06765,-0.017904
-0.1838,-0.0076445,-0.046275
-0.18358,-0.018148,-0.029444
-0.18394,-0.028759,-0.032819
-0.1844,-0.031681,-0.031037
-0.18462,-0.06475,-0.0091242
-0.18425,-0.021042,-0.040274
-0.18413,-0.015934,-0.071258
-0.18477,-0.017771,-0.060089
-0.18409,-0.041631,-0.023964
-0.18475,-0.015318,-0.06415
-0.18475,-0.031962,-0.064136
-0.18447,-0.046124,-0.036899
-0.18461,-0.033266,-0.056253
-0.18261,-0.010088,-0.014743
-0.18392,-0.013761,-0.022769
-0.18422,-0.022558,-0.026254
-0.18429,-0.0364,-0.031231
-0.18462,-0.017221,-0.038251
-0.18427,-0.031239,-0.027303
-0.18462,-0.049139,-0.012981
-0.18421,-0.0026881,-0.029861
-0.18462,-0.040078,-0.0069864
-0.18484,-0.036475,-0.01853
-0.1847,-0.041797,-0.021551
-0.1849,-0.046417,-0.028618
-0.18376,-0.018958,-0.021276
-0.18734,-0.037453,-0.065822
-0.18464,-0.069552,-0.019123
-0.18487,-0.048686,-0.054243
-0.1854,-0.062541,-0.0039387
-0.18502,-0.0074541,-0.058253
-0.18487,-0.0077974,-0.033932
-0.18515,-0.052615,-0.019193
-0.1852,-0.005651,-0.061301
-0.18542,-0.046418,-0.058175
-0.18497,-0.016285,-0.037036
-0.18525,-0.048638,-0.047529
-0.18504,-0.044546,-0.054952
-0.18184,-0.0079907,-0.0059292
-0.18416,-0.013058,-0.020621
-0.18557,-0.033189,-0.062753
-0.18505,-0.030281,-0.013386
-0.18392,-0.017853,-0.010711
-0.18523,-0.067823,-0.029104
-0.18568,-0.044467,-0.0073711
-0.1858,-0.064493,-0.0051974
-0.18159,-0.0014681,-0.004477
-0.18476,-0.0028951,-0.024253
-0.1835,-0.0011098,-0.01748
-0.18535,-0.042931,-0.018558
-0.18341,-0.0080752,-0.014862
-0.1857,-0.051422,-0.032873
-0.18588,-0.044934,-0.015207
-0.18551,-0.013953,-0.037627
-0.18509,-0.030655,-0.018989
-0.18586,-0.022171,-0.065353
-0.18544,-0.046405,-0.050877
-0.18558,-0.06518,-0.033543
-0.18595,-0.052121,-0.042675
-0.18593,-0.0016395,-0.04629
-0.18625,-0.0084839,-0.059375
-0.18578,-0.071439,-0.015216
-0.18568,-0.032434,-0.013945
-0.18461,-0.01794,-0.019473
-0.18598,-0.064499,-0.0044376
-0.18558,-0.032486,-0.042159
-0.1855,-0.052504,-0.029132
-0.18608,-0.04721,-0.01062
-0.18617,-0.039152,-0.060845
-0.19115,-0.068644,-0.032723
-0.18649,-0.037848,-0.049547
-0.18414,-0.0076588,-0.013508
-0.1864,-0.044971,-0.048493
-0.1861,-0.01924,-0.068664
-0.18669,-0.026185,-0.058938
-0.18674,-0.0048848,-0.07056
-0.18663,-0.030972,-0.050892
-0.18668,-0.044852,-0.058006
-0.18626,-0.024441,-0.0044002
-0.18666,-0.044783,-0.0386
-0.18657,-0.021539,-0.045577
-0.18681,-0.025601,-0.035524
-0.18648,-0.00097149,-0.059548
-0.18706,-0.04627,-0.0073453
-0.18632,-0.045703,-0.035028
-0.18541,-0.016484,-0.016191
-0.18694,-0.042627,-0.046901
-0.18678,-0.030684,-0.0041791
-0.18646,-0.027607,-0.029822
-0.18693,-0.047054,-0.029684
-0.18631,-0.053042,-0.048427
-0.1871,-0.032649,-0.066253
-0.18664,-0.02646,-0.0076564
-0.18675,-0.0011866,-0.05999
-0.18691,-0.036023,-0.045858
-0.18559,-0.0096082,-0.018101
-0.18726,-0.050592,-0.033548
-0.18657,-0.0083633,-0.028253
-0.18732,-0.0098495,-0.052567
-0.18677,-0.025003,-0.040783
-0.18705,-0.052718,-0.024972
-0.18726,-0.0021679,-0.072099
-0.18567,-0.012069,-0.017672
-0.18739,-0.063788,-0.021909
-0.18764,-0.059804,-0.028237
-0.18785,-0.073956,-0.0040173
-0.18465,-0.0026546,-0.0013197
-0.18745,-0.026778,-0.041772
-0.18757,-0.037944,-0.043723
-0.18773,-0.012314,-0.038945
-0.18779,-0.05959,-0.012171
-0.18763,-0.0060276,-0.036108
-0.1873,-0.01052,-0.072452
-0.1878,-0.0071457,-0.03942
-0.18794,-0.071253,-0.02192
-0.18757,-0.068853,-0.023822
-0.18719,0.00023019,-0.029923
-0.18762,-0.043754,-0.0031886
-0.18812,-0.050942,-0.01115
-0.18805,-0.068604,-0.0078661
-0.1877,-0.042099,-0.025139
-0.18736,-0.024865,-0.015493
-0.186,-0.013237,-0.010757
-0.18752,-0.016,-0.072441
-0.18778,-0.014355,-0.030953
-0.18802,-0.056447,-0.019387
-0.18806,-0.055838,-0.021892
-0.18793,-0.030641,-0.041474
-0.18836,-0.046329,-0.051215
-0.18785,-0.034345,-0.022108
-0.18775,-0.031875,-0.029322
-0.18776,-0.0073064,-0.025679
-0.18834,-0.0077194,-0.047471
-0.18813,-0.067223,-0.021434
-0.1884,-0.066717,-0.029216
-0.18813,-0.031197,-0.046216
-0.18624,-0.011415,-0.011369
-0.18804,-0.0018817,-0.032798
-0.19129,-0.0029577,-0.075888
-0.18851,-0.0035304,-0.055096
-0.18828,-0.0039556,-0.053653
-0.18289,-0.030908,-0.0038639
-0.18837,-0.055881,-0.039766
-0.18817,-0.027457,-0.011138
-0.18745,-0.00064509,-0.021867
-0.18826,-0.067658,-0.017783
-0.18836,-0.013524,-0.036142
-0.18903,-0.054408,-0.037872
-0.189,-0.0073778,-0.045254
-0.18916,-0.028496,-0.058651
-0.18907,-0.036677,-0.020394
-0.18927,-0.04738,-0.022904
-0.18931,-0.029109,-0.035223
-0.18838,-0.0066467,-0.057084
-0.18858,-0.024286,-0.061202
-0.18935,-0.029067,-0.047331
-0.18936,-0.048466,-0.022115
-0.18915,-0.040321,-0.030855
-0.18924,-0.033608,-0.037747
-0.18925,-0.018139,-0.032031
-0.18579,-0.059377,-0.0020954
-0.18907,-0.037436,-0.042446
-0.18955,-0.013889,-0.068239
-0.18395,-0.039173,-0.0020633
-0.18849,-0.042271,-0.060704
-0.18952,-0.059019,-0.0082679
-0.18907,-0.033348,-0.020841
-0.18947,-0.042335,-0.041871
-0.18918,-0.028346,-0.02394
-0.18937,-0.054299,-0.013932
-0.18969,-0.067979,-0.031609
-0.18917,-0.042551,-0.0595
-0.18973,-0.032233,-0.043267
-0.18976,-0.026378,-0.015899
-0.18992,-0.066371,-0.011318
-0.18983,-0.032475,-0.053912
-0.18937,-0.065395,-0.029595
-0.18962,-0.0538,-0.0080783
-0.18998,-0.056019,-0.0045176
-0.19011,-0.029982,-0.063635
-0.18976,-0.040594,-0.039046
-0.18935,-0.018913,-0.016817
-0.1896,-0.019689,-0.022303
-0.18981,-0.037535,-0.05058
-0.19025,-0.032712,-0.057581
-0.18945,-0.018412,-0.0080665
-0.19029,-0.031176,-0.037042
-0.18976,-0.013488,-0.021878
