"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18387,-0.070785,-0.027476,293.48,5.6381,0.61109,-1.0336,-0.2256,0.0095254,-0.3586,1,0.0035229,1e-05,0,5.236e-13,60053
-0.1853,-0.051938,-0.055222,294.3,7.9861,1.6148,-1.1722,-0.41815,1.7219,-0.54358,1,0.0025018,1e-05,0,5.236e-13,48007
-0.19047,-0.0054135,-0.075972,296.93,0.78606,0.24106,0.3083,-0.0974,0.47972,0.059021,1,0.0014182,1e-05,0,5.236e-13,60009
-0.18456,-0.022506,-0.072296,298.11,8.8735,2.1182,-0.39487,-1.5945,0.06779,0.049549,1,0.0012276,1e-05,0,5.236e-13,59913
-0.18149,-0.027819,-0.044092,299.04,15.797,5.1756,-2.386,0,0,0,1,0.0010248,1e-05,0,5.236e-13,59913
-0.18127,-0.023717,-0.041385,299.1,15.912,5.7224,-2.4729,0,0,0,1,0.0010061,1e-05,0,5.236e-13,59913
-0.18142,-0.036706,-0.018856,299.04,16.162,3.6876,-5.8693,0,0,0,1,0.001006,1e-05,0,5.236e-13,59913
-0.18135,-0.02327,-0.030906,299.03,16.335,5.9855,-3.8897,0,0,0,1,0.0010023,1e-05,0,5.236e-13,59913
-0.18152,-0.043176,-0.0269,299.16,15.836,3.6515,-4.4759,0,0,0,1,0.0010019,1e-05,0,5.236e-13,59913
-0.18613,-0.075406,-0.0082569,299.29,8.6519,0.34493,-1.7449,-0.21636,0.77318,-0.047521,1,0.00099981,1e-05,0,5.236e-13,59913
-0.18167,-0.021658,-0.050938,299.22,15.699,5.1539,-1.3811,0,0,0,1,0.00099811,1e-05,0,5.236e-13,59913
-0.18158,-0.045923,-0.018508,299.21,15.86,2.8816,-5.1909,0,0,0,1,0.00098997,1e-05,0,5.236e-13,47931
-0.18171,-0.031295,-0.043227,299.25,15.753,4.8758,-2.6117,0,0,0,1,0.0009893,1e-05,0,5.236e-13,47931
-0.18174,-0.053375,-0.0045878,299.28,15.726,1.2222,-5.349,0,0,0,1,0.00098504,1e-05,0,5.236e-13,59913
-0.18192,-0.036143,-0.034424,299.25,15.842,4.5633,-3.7572,0,0,0,1,0.00098347,1e-05,0,5.236e-13,59913
-0.18153,-0.040663,-0.018252,299.22,15.998,3.2856,-5.6864,0,0,0,1,0.00097876,1e-05,0,5.236e-13,59913
-0.18155,-0.037087,-0.032181,299.28,15.868,4.4483,-4.0362,0,0,0,1,0.0009768,1e-05,0,5.236e-13,59913
-0.18225,-0.033865,-0.035606,299.34,15.848,4.805,-3.6076,0,0,0,1,0.00096621,1e-05,0,5.236e-13,59913
-0.18173,-0.038688,-0.014057,299.28,16.127,2.9583,-6.27,0,0,0,1,0.00096278,1e-05,0,5.236e-13,47931
-0.18188,-0.022263,-0.022895,299.21,16.768,5.7637,-5.2386,0,0,0,1,0.00095793,1e-05,0,5.236e-13,47931
-0.18259,-0.033866,-0.0429,299.44,15.705,4.6213,-2.7306,0,0,0,1,0.00095785,1e-05,0,5.236e-13,47931
-0.18209,-0.017266,-0.039044,299.33,16.067,6.4115,-2.187,0,0,0,1,0.00095609,1e-05,0,5.236e-13,47931
-0.18236,-0.018611,-0.034213,299.37,16.268,6.4252,-2.9352,0,0,0,1,0.00094321,1e-05,0,5.236e-13,59913
-0.18178,-0.02574,-0.014154,299.3,17.061,3.9557,-6.7904,0,0,0,1,0.00093746,1e-05,0,5.236e-13,59913
-0.1817,-0.026853,-0.010881,299.33,17.114,3.13,-7.2099,0,0,0,1,0.00093288,1e-05,0,5.236e-13,59913
-0.18229,-0.038597,-0.0044215,299.44,16.225,1.413,-6.964,0,0,0,1,0.00093184,1e-05,0,5.236e-13,59913
-0.18244,-0.0053515,-0.042217,299.48,16.056,6.7593,-0.21949,0,0,0,1,0.00093118,1e-05,0,5.236e-13,59913
-0.18209,-0.0067418,-0.028784,299.35,17.038,7.6683,-1.607,0,0,0,1,0.00092991,1e-05,0,5.236e-13,47931
