"Points:0","Points:1","Points:2"
-0.18382,-0.071245,-0.026842
-0.19022,-0.072645,-0.022851
-0.19185,-0.07377,-0.01868
-0.18429,-0.07577,-0.0050014
-0.18556,-0.017084,-0.074211
-0.18983,-0.075763,-0.006437
-0.1921,-0.037781,-0.066104
-0.18139,-0.0034289,-0.060706
-0.18141,-0.01825,-0.051099
-0.18146,-0.025168,-0.041104
-0.18148,-0.046129,-0.016794
-0.18124,-0.016414,-0.051352
-0.18152,-0.028693,-0.022358
-0.18178,-0.026166,-0.038803
-0.18164,-0.041675,-0.020846
-0.1819,-0.053341,-0.0069695
-0.18168,-0.00099326,-0.04044
-0.18178,-0.016261,-0.041137
-0.18223,-0.039543,-0.034996
-0.18233,-0.02266,-0.045452
-0.18188,-0.0059255,-0.040674
-0.18187,-0.033096,-0.034493
-0.1826,-0.04066,-0.02477
-0.18285,-0.0040037,-0.05004
-0.18164,-0.010225,-0.03803
-0.1821,-0.027269,-0.028177
-0.18225,-0.011501,-0.047722
-0.18172,-0.01467,-0.024322
-0.1823,-0.037758,-0.015568
-0.18196,-0.028062,-0.012787
-0.18187,-0.0025433,-0.026639
-0.18282,-0.011908,-0.036468
-0.18165,-0.01257,-0.024434
-0.18263,-0.038197,-0.007247
-0.18227,-0.013137,-0.026204
-0.18303,-0.035112,-0.035445
-0.18324,-0.039184,-0.014872
-0.18328,-0.033422,-0.028149
-0.18325,-0.0025941,-0.047354
-0.18347,-0.039898,-0.021536
-0.18364,-0.02631,-0.029105
-0.18345,-0.033685,-0.020228
-0.18377,-0.00062713,-0.05068
-0.18413,-0.069321,-0.021742
-0.1829,-0.0011055,-0.034764
-0.18398,-0.063538,-0.0094971
-0.18382,-0.058487,-0.024021
-0.18396,-0.027654,-0.03741
-0.18346,-0.02145,-0.024516
-0.18385,-0.050022,-0.0089715
-0.1842,-0.046961,-0.029547
-0.18437,-0.022859,-0.066808
-0.18356,-0.027185,-0.015484
-0.18397,0.00033042,-0.045171
-0.18394,-0.045729,-0.024369
-0.18432,-0.0060504,-0.069295
-0.18443,-0.017635,-0.069329
-0.18393,-0.039009,-0.031243
-0.18354,-0.036789,-0.024298
-0.18396,-0.0044293,-0.037133
-0.18431,-0.013629,-0.051436
-0.18452,-0.052472,-0.040136
-0.18437,-0.014214,-0.066187
-0.18407,-0.029888,-0.03539
-0.18456,-0.0088912,-0.067901
-0.18425,-0.0040488,-0.039398
-0.19179,-0.060484,-0.046026
-0.18459,-0.026124,-0.052447
-0.18421,-0.043195,-0.061091
-0.18445,-0.038972,-0.04699
-0.18439,-0.042065,-0.055432
-0.18149,-0.012146,-0.0061237
-0.18469,-0.057725,-0.033943
-0.18487,-0.052404,-0.051457
-0.18427,-0.064352,-0.0084457
-0.18373,-0.00079955,-0.025155
-0.18479,-0.0056791,-0.050758
-0.18448,-0.037742,-0.038408
-0.18404,-0.026308,-0.050173
-0.18465,-0.038765,-0.0064486
-0.18429,-0.054729,-0.051044
-0.18497,-0.060527,-0.018758
-0.18409,-0.06736,-0.029756
-0.18467,-0.0046444,-0.059244
-0.18471,-0.036385,-0.010935
-0.18254,-0.0021127,-0.018491
-0.18448,-0.027912,-0.022489
-0.18427,-0.016322,-0.025386
-0.18489,-0.033895,-0.021145
-0.18475,0.00051328,-0.04321
-0.18507,-0.020797,-0.034432
-0.18511,-0.01733,-0.040302
-0.18545,-0.048156,-0.029571
-0.18518,-0.031514,-0.019257
-0.18472,-0.0041195,-0.030335
-0.18498,-0.0083349,-0.0283
-0.185,-0.0075672,-0.044653
-0.18536,-0.049493,-0.0038439
-0.18523,-0.03579,-0.01085
-0.18561,-0.0083897,-0.06061
-0.18525,-0.031463,-0.06467
-0.18568,-0.0072603,-0.072495
-0.1827,-0.0039124,-0.011419
-0.18518,-0.0086753,-0.065211
-0.18546,-0.056682,-0.035323
-0.18548,-0.03403,-0.0075247
