"Points:0","Points:1","Points:2"
-0.18587,-0.07192,-0.024829
-0.18389,-0.074864,-0.013278
-0.1874,-0.043641,-0.062083
-0.18796,-0.075412,-0.0098687
-0.18551,-0.076,-0.0034741
-0.18121,-0.029605,-0.039361
-0.18121,-0.028201,-0.044823
-0.18159,-0.039412,-0.0053547
-0.18218,-0.025472,-0.043329
-0.18191,-0.0074656,-0.052429
-0.18136,-0.026543,-0.028946
-0.18217,-0.044546,-0.025009
-0.18186,-0.021026,-0.025245
-0.18152,-0.030593,-0.010647
-0.18156,-0.0082522,-0.023404
-0.18238,-0.011622,-0.027481
-0.18258,-0.038151,-0.0057099
-0.18271,-0.040195,-0.020169
-0.1826,-0.050434,-0.011204
-0.18213,-0.011437,-0.024986
-0.1825,-0.00096348,-0.043778
-0.18305,-0.015456,-0.044602
-0.18265,-0.0042719,-0.023762
-0.18264,-0.014228,-0.028563
-0.18284,-0.033184,-0.013026
-0.1828,-0.0011627,-0.03492
-0.18318,-0.0073763,-0.032109
-0.18403,-0.067931,-0.010793
-0.18733,-0.075581,-0.0059383
-0.18301,-0.018285,-0.021031
-0.18385,-0.055025,-0.045485
-0.18372,-0.037746,-0.031129
-0.18166,-0.01798,-0.0078443
-0.18383,-0.049257,-0.015016
-0.18356,-0.0027684,-0.044358
-0.18397,-0.012771,-0.065787
-0.18216,-0.018858,-0.0066451
-0.18359,-0.062806,-0.035502
-0.1839,-0.058668,-0.0053206
-0.18288,-0.024983,-0.012136
-0.18372,-0.053333,-0.049715
-0.18423,-0.056636,-0.045414
-0.18373,-0.037998,-0.030322
-0.18346,-0.020937,-0.025895
-0.18396,-0.012186,-0.030314
-0.18406,-5.1481e-05,-0.049254
-0.18403,-0.060183,-0.026462
-0.19094,-0.040726,-0.064067
-0.18409,-0.014655,-0.034798
-0.18242,-0.013396,-0.013671
-0.18453,-0.046913,-0.014511
-0.18416,-0.031181,-0.013389
-0.18444,-0.017242,-0.042921
-0.18266,-0.026878,-0.0064776
-0.18452,-0.04085,-0.0052494
-0.18405,-0.062289,-0.0034936
-0.18488,-0.035013,-0.049528
-0.18451,-0.059087,-0.01637
-0.18451,-0.054508,-0.043144
-0.18416,-0.035625,-0.045696
-0.18458,-0.05171,-0.017045
-0.18432,-0.0032926,-0.062974
-0.18373,-0.027853,-0.0085013
-0.18449,-0.025578,-0.020917
-0.18462,-0.046477,-0.04873
-0.18508,-0.040588,-0.048099
-0.18415,-0.035945,-0.024994
-0.18968,-0.069406,-0.03104
-0.18497,-0.052379,-0.019942
-0.18523,-0.014559,-0.065714
-0.18458,-0.013914,-0.05528
-0.18511,-0.028492,-0.015021
-0.18343,-0.0097452,-0.01668
-0.18537,-0.055053,-0.012964
-0.18329,-0.012584,-0.016024
-0.18542,-0.017366,-0.070675
-0.18534,-0.069968,-0.022715
-0.18514,-0.040213,-0.017653
-0.18905,-0.045092,-0.061072
-0.18573,-0.043454,-0.050701
-0.18481,-0.010068,-0.022972
-0.18496,-0.015615,-0.033649
-0.18544,-0.0066276,-0.027249
-0.18561,-0.046223,-0.054224
-0.1858,-0.042971,-0.017893
-0.18276,-0.013615,-0.0043105
-0.18564,-0.029651,-0.068191
-0.1858,-0.042342,-0.016873
-0.1854,-0.052251,-0.035809
-0.18571,-0.028315,-0.047827
-0.18225,-0.0015109,-0.012526
-0.18565,-0.0041986,-0.061698
-0.18551,-0.028658,-0.0061148
-0.18558,-0.041733,-0.050634
