"Points:0","Points:1","Points:2"
-0.1855,-0.071102,-0.026739
-0.18739,-0.045003,-0.061463
-0.18714,-0.047703,-0.059177
-0.18723,-0.031264,-0.069394
-0.18432,-0.070909,-0.02661
-0.19161,-0.015725,-0.074478
-0.18913,-0.075825,-0.005367
-0.19061,-0.07344,-0.019852
-0.19084,-0.048353,-0.058681
-0.18152,-0.036457,-0.023528
-0.18144,-0.023207,-0.043067
-0.18163,-0.01481,-0.05513
-0.18152,-0.04197,-0.009582
-0.18164,-0.031864,-0.016692
-0.18201,-0.012806,-0.05319
-0.1822,-0.0011793,-0.044971
-0.18174,-0.027205,-0.02097
-0.1814,-0.010394,-0.032889
-0.18181,-0.013692,-0.048504
-0.18186,-0.040439,-0.020682
-0.18232,-0.032265,-0.020892
-0.18385,-0.068703,-0.031745
-0.18259,-0.043028,-0.021701
-0.18237,-0.02182,-0.038601
-0.18192,-0.026176,-0.013579
-0.18249,0.00097627,-0.045688
-0.18285,-0.0068678,-0.056423
-0.18222,-0.0069161,-0.035769
-0.18267,-0.013901,-0.05499
-0.18295,-0.032157,-0.037153
-0.18288,-0.0043566,-0.036352
-0.18202,-0.027193,-0.0088897
-0.18205,-0.02203,-0.012219
-0.1825,-0.01556,-0.023088
-0.18293,-0.014168,-0.048739
-0.18271,-0.029514,-0.0039525
-0.1835,-0.011872,-0.046244
-0.18382,-0.058807,-0.038157
-0.18317,-0.030896,-0.017255
-0.18404,-0.038913,-0.063058
-0.18397,-0.039877,-0.054203
-0.1836,-0.036485,-0.024243
-0.18356,-0.050056,-0.014074
-0.18338,-0.015205,-0.049622
-0.18383,-0.058688,-0.025556
-0.18316,-0.012933,-0.031235
-0.18375,-0.04281,-0.013284
-0.18339,-0.0064482,-0.050726
-0.18324,-0.010001,-0.032082
-0.18379,-0.013192,-0.042927
-0.18452,-0.053082,-0.044425
-0.18413,-0.040479,-0.019702
-0.18355,-0.013891,-0.025744
-0.18454,-0.052793,-0.037634
-0.18363,-0.037312,-0.031507
-0.18308,-0.0044611,-0.023569
-0.18405,-0.0077614,-0.046302
-0.18375,-0.017845,-0.027699
-0.18427,-0.030367,-0.032342
-0.18392,-0.03295,-0.031184
-0.18437,-0.064452,-0.011304
-0.18426,-0.020709,-0.039795
-0.18402,-0.015489,-0.071749
-0.18425,-0.016731,-0.060657
-0.18431,-0.041953,-0.024323
-0.18409,-0.013445,-0.064652
-0.18425,-0.034012,-0.063138
-0.18464,-0.046715,-0.037534
-0.18222,-0.011686,-0.015679
-0.18348,-0.013875,-0.022298
-0.18429,-0.01912,-0.025644
-0.18403,-0.034452,-0.033123
-0.18439,-0.018256,-0.038197
-0.18472,-0.049104,-0.012451
-0.1843,-0.0033907,-0.028454
-0.18434,-0.0088041,-0.032861
-0.18485,-0.038914,-0.0066423
-0.18436,-0.038044,-0.018736
-0.18216,-0.0089805,-0.0096548
-0.18454,-0.041531,-0.021562
-0.18602,-0.036086,-0.066503
-0.1841,-0.070117,-0.019169
-0.18458,-0.028433,-0.026909
-0.18508,-0.048631,-0.054562
-0.18511,-0.062729,-0.0060534
-0.18423,-0.0075861,-0.032104
-0.18483,-0.052053,-0.019605
-0.18549,-0.0049718,-0.062022
-0.18522,-0.043831,-0.060205
-0.18482,-0.015536,-0.035608
-0.18553,-0.060558,-0.015254
-0.18528,-0.048834,-0.047167
-0.18571,-0.03178,-0.062944
-0.18217,-0.0090163,-0.0067934
-0.18375,-0.014896,-0.021918
-0.18534,-0.030799,-0.064634
-0.18507,-0.030633,-0.012852
-0.18299,-0.015333,-0.010106
-0.18535,-0.044791,-0.0070296
-0.18461,-0.0033106,-0.024702
-0.18265,-0.00021625,-0.014837
-0.18574,-0.043267,-0.017486
-0.18588,-0.052131,-0.032905
-0.185,-0.014004,-0.036244
-0.1851,-0.032833,-0.017415
-0.18606,-0.019904,-0.066005
-0.18531,-0.046557,-0.05029
-0.18563,-0.065311,-0.033744
-0.18278,-0.031081,-0.0054823
-0.18568,-0.050647,-0.043907
-0.18571,-0.0039751,-0.046976
-0.18617,-0.0081444,-0.05897
-0.18616,-0.071416,-0.01585
-0.18547,-0.033506,-0.013188
-0.18483,-0.014355,-0.018747
-0.18608,-0.064323,-0.0032052
-0.1862,-0.03181,-0.04148
-0.18592,-0.051757,-0.029646
-0.1859,-0.047168,-0.012329
-0.18625,-0.0049538,-0.048269
-0.18658,-0.039337,-0.060619
-0.1837,-0.071901,-0.002409
-0.18594,-0.069664,-0.0027552
-0.19187,-0.069149,-0.031844
-0.18629,-0.037934,-0.049072
-0.18414,-0.0070682,-0.011893
-0.18663,-0.043406,-0.050525
-0.18595,-0.019656,-0.069081
-0.18662,-0.024398,-0.059753
-0.18687,-0.0058084,-0.070647
-0.18648,-0.029443,-0.052226
-0.18666,-0.043567,-0.059023
-0.18585,-0.02335,-0.0039772
-0.18669,-0.045644,-0.038045
-0.18683,-0.021032,-0.045546
-0.18673,-0.02666,-0.036293
-0.18663,-0.0006687,-0.059545
-0.18693,-0.046655,-0.0078768
-0.18693,-0.046587,-0.033655
-0.18563,-0.016506,-0.016706
-0.1865,-0.043449,-0.047114
-0.18606,-0.029365,-0.0019646
-0.18616,-0.026692,-0.030803
-0.18711,-0.047699,-0.028932
-0.18686,-0.050576,-0.049939
-0.18678,-0.033691,-0.065893
-0.18618,-0.02767,-0.0071122
-0.18712,-0.00075499,-0.059681
