"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.19083,-0.064249,-0.040888,293.67,-0.25264,-0.077865,0.12137,-0.54792,-0.27123,0.053767,1,0.0032864,1e-05,0,5.236e-13,59913
-0.18692,-0.01462,-0.074464,293.61,6.9701,1.5067,-0.0014185,-0.48663,-0.021349,0.010305,1,0.0032827,1e-05,0,5.236e-13,59913
-0.18907,-0.0215,-0.073028,295.6,0.93215,0.20909,0.05599,0.12124,0.040831,0.15686,1,0.0019043,1e-05,0,5.236e-13,47906
-0.1855,-0.072203,-0.023512,297.22,4.8926,0.90414,-0.96948,-1.3117,-0.5364,0.88308,1,0.0013913,1e-05,0,5.236e-13,59795
-0.1878,-0.034077,-0.067937,298.18,4.817,0.88612,-0.55454,-0.19388,-0.20478,-0.01424,1,0.0011736,1e-05,0,5.236e-13,59795
-0.18629,-0.021523,-0.072839,298.24,6.9878,1.4301,-0.56545,-0.14358,-0.069366,0.33132,1,0.0011617,1e-05,0,5.236e-13,59795
-0.18409,-0.0024682,-0.075672,298.63,11.078,2.0176,0.22093,-0.25526,0.089639,0.13288,1,0.0010688,1e-05,0,5.236e-13,59795
-0.18166,-0.0020366,-0.048426,299.1,15.865,6.1719,0.51828,0,0,0,1,0.0010083,1e-05,0,5.236e-13,59795
-0.18122,-0.023697,-0.043964,299.13,15.837,5.5705,-2.1541,0,0,0,1,0.0010051,1e-05,0,5.236e-13,59795
-0.18177,-0.015047,-0.054753,299.22,15.656,5.1548,-0.6332,0,0,0,1,0.001001,1e-05,0,5.236e-13,59795
-0.18168,-0.0054925,-0.049493,299.17,15.825,6.0161,0.11569,0,0,0,1,0.00099783,1e-05,0,5.236e-13,59795
-0.18206,-0.041795,-0.0094969,299.21,16.031,2.1695,-6.4337,0,0,0,1,0.000978,1e-05,0,5.236e-13,59795
-0.18159,-0.033139,-0.016191,299.18,16.353,3.6871,-6.4753,0,0,0,1,0.00097265,1e-05,0,5.236e-13,59795
-0.18218,-0.013947,-0.052426,299.38,15.701,5.4247,-0.65446,0,0,0,1,0.0009686,1e-05,0,5.236e-13,59795
-0.18174,-0.0014758,-0.045122,299.3,15.948,6.5569,0.52245,0,0,0,1,0.00096547,1e-05,0,5.236e-13,59795
-0.18154,-0.025627,-0.01993,299.17,16.671,5.065,-6.1023,0,0,0,1,0.0009643,1e-05,0,5.236e-13,59795
-0.1816,-0.010671,-0.032423,299.2,16.559,7.424,-2.0797,0,0,0,1,0.00096273,1e-05,0,5.236e-13,59795
-0.18171,-0.013383,-0.048254,299.37,15.802,5.8995,-0.84381,0,0,0,1,0.00096234,1e-05,0,5.236e-13,59795
-0.18231,-0.041722,-0.020707,299.35,15.909,3.3738,-5.3347,0,0,0,1,0.00096065,1e-05,0,5.236e-13,59795
-0.18189,-0.033497,-0.019638,299.3,16.244,4.0517,-5.9301,0,0,0,1,0.00095439,1e-05,0,5.236e-13,59795
-0.1855,-0.068948,-0.031382,299.26,10.181,1.07,-2.0249,0.08605,0.077565,0.077853,1,0.00094794,1e-05,0,5.236e-13,47836
-0.18219,-0.041766,-0.022478,299.45,15.881,3.5031,-5.1109,0,0,0,1,0.00094418,1e-05,0,5.236e-13,47836
-0.18237,-0.022038,-0.040178,299.44,15.899,5.959,-2.5171,0,0,0,1,0.00094343,1e-05,0,5.236e-13,59795
-0.18289,-0.0056397,-0.056727,299.61,15.632,5.1165,0.21916,0,0,0,1,0.00093312,1e-05,0,5.236e-13,59795
-0.18138,-0.023739,-0.0059824,299.28,17.795,1.9391,-7.7848,0,0,0,1,0.0009309,1e-05,0,5.236e-13,59795
-0.18259,-0.0068563,-0.035333,299.47,16.381,7.4021,-0.97912,0,0,0,1,0.00092047,1e-05,0,5.236e-13,59795
-0.18286,-0.016226,-0.053916,299.7,15.627,5.1486,-0.78241,0,0,0,1,0.00091704,1e-05,0,5.236e-13,47836
-0.18293,-0.032496,-0.036489,299.63,15.807,4.9277,-3.4847,0,0,0,1,0.00091663,1e-05,0,5.236e-13,47836
-0.18268,-0.0041938,-0.035549,299.56,16.379,7.4725,-0.41828,0,0,0,1,0.00090638,1e-05,0,5.236e-13,59795
-0.18188,-0.023889,-0.0089499,299.5,17.552,2.8537,-7.5651,0,0,0,1,0.0008966,1e-05,0,5.236e-13,59795
-0.18207,-0.022472,-0.011174,299.51,17.621,3.5779,-7.2135,0,0,0,1,0.00089542,1e-05,0,5.236e-13,47836
-0.18233,-0.016711,-0.022518,299.55,17.131,6.5391,-4.7942,0,0,0,1,0.00089367,1e-05,0,5.236e-13,47836
-0.18338,-0.016094,-0.046229,299.8,15.766,5.9142,-1.2994,0,0,0,1,0.00088916,1e-05,0,5.236e-13,59795
-0.18266,-0.0298,-0.0045656,299.61,16.808,1.4551,-7.9329,0,0,0,1,0.0008876,1e-05,0,5.236e-13,59795
-0.1833,-0.010567,-0.048531,299.83,15.748,5.9437,-0.54244,0,0,0,1,0.00088407,1e-05,0,5.236e-13,59795
-0.18362,-0.06547,-0.027849,300.04,15.26,1.7749,-3.5004,0,0,0,1,0.00088081,1e-05,0,5.236e-13,59795
-0.18366,-0.059996,-0.036865,300.06,15.273,2.3348,-3.2137,0,0,0,1,0.00087716,1e-05,0,5.236e-13,59795
-0.18272,-0.031267,-0.017122,299.76,16.336,3.9715,-6.3962,0,0,0,1,0.00087246,1e-05,0,5.236e-13,59795
-0.18366,-0.040778,-0.062335,300.11,15.358,3.1263,-1.8851,0,0,0,1,0.0008709,1e-05,0,5.236e-13,59795
-0.18368,-0.040653,-0.054076,300.1,15.332,3.5679,-2.1388,0,0,0,1,0.00086737,1e-05,0,5.236e-13,59795
-0.18365,-0.037497,-0.023287,299.89,15.908,3.9296,-5.2429,0,0,0,1,0.00086633,1e-05,0,5.236e-13,59795
