"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.1855,-0.071102,-0.026739,293.98,4.1944,0.61043,-0.6904,0.10733,-0.082154,0.067723,1,0.0029027,1e-05,0,5.236e-13,59447
-0.18739,-0.045003,-0.061463,293.47,0.88866,0.46446,-0.2806,0.34424,-0.38596,-0.90282,1,0.003711,1e-05,0,5.236e-13,59688
-0.18714,-0.047703,-0.059177,293.25,4.2194,0.87836,-0.62974,-0.40998,-0.086883,0.2818,1,0.0041355,1e-05,0,5.236e-13,59688
-0.18723,-0.031264,-0.069394,293.62,0.56083,0.33329,0.0096868,-0.065945,0.14588,0.095558,1,0.003248,1e-05,0,5.236e-13,59688
-0.18432,-0.070909,-0.02661,295.68,10.497,1.0293,-2.2008,0.18518,0.79664,-0.35499,1,0.0017536,1e-05,0,5.236e-13,59575
-0.19161,-0.015725,-0.074478,296.44,0.72834,0.10543,-0.059704,-0.82144,-0.25746,-0.038606,1,0.0016304,1e-05,0,5.236e-13,59575
-0.18913,-0.075825,-0.005367,296.67,4.6846,-0.070453,-1.0823,-0.59715,-0.41373,-0.25359,1,0.0015098,1e-05,0,5.236e-13,47595
-0.19061,-0.07344,-0.019852,297.38,2.465,0.0045293,-0.31315,-0.36632,-0.32626,0.28056,1,0.0013884,1e-05,0,5.236e-13,59494
-0.19084,-0.048353,-0.058681,298.61,3.7371,0.5138,-0.84914,-0.90668,-1.0891,-0.19221,1,0.0010894,1e-05,0,5.236e-13,59494
-0.18152,-0.036457,-0.023528,299.04,16.094,4.1333,-5.3288,0,0,0,1,0.0010084,1e-05,0,5.236e-13,59494
-0.18144,-0.023207,-0.043067,299.13,15.901,5.6729,-2.24,0,0,0,1,0.0010022,1e-05,0,5.236e-13,59494
-0.18163,-0.01481,-0.05513,299.23,15.677,5.1444,-0.59118,0,0,0,1,0.00099799,1e-05,0,5.236e-13,59494
-0.18152,-0.04197,-0.009582,299.22,16.057,2.2143,-6.4465,0,0,0,1,0.00097515,1e-05,0,5.236e-13,59494
-0.18164,-0.031864,-0.016692,299.17,16.374,3.9738,-6.6442,0,0,0,1,0.00096983,1e-05,0,5.236e-13,59494
-0.18201,-0.012806,-0.05319,299.39,15.725,5.39,-0.50246,0,0,0,1,0.00096581,1e-05,0,5.236e-13,59494
-0.1822,-0.0011793,-0.044971,299.31,15.967,6.5917,0.57599,0,0,0,1,0.00096269,1e-05,0,5.236e-13,59494
-0.18174,-0.027205,-0.02097,299.2,16.462,5.1174,-6.1109,0,0,0,1,0.00096152,1e-05,0,5.236e-13,59494
-0.1814,-0.010394,-0.032889,299.21,16.519,7.573,-2.0434,0,0,0,1,0.00095996,1e-05,0,5.236e-13,59494
-0.18181,-0.013692,-0.048504,299.39,15.83,5.8525,-0.85478,0,0,0,1,0.00095958,1e-05,0,5.236e-13,59494
-0.18186,-0.040439,-0.020682,299.35,15.99,3.5061,-5.4424,0,0,0,1,0.00095789,1e-05,0,5.236e-13,59494
-0.18232,-0.032265,-0.020892,299.31,16.253,4.3682,-5.8837,0,0,0,1,0.00095166,1e-05,0,5.236e-13,59494
-0.18385,-0.068703,-0.031745,299.2,12.971,1.0268,-2.2997,0.15072,0.48238,-0.13207,1,0.00094524,1e-05,0,5.236e-13,47595
-0.18259,-0.043028,-0.021701,299.47,15.897,3.3251,-5.1073,0,0,0,1,0.0009415,1e-05,0,5.236e-13,47595
-0.18237,-0.02182,-0.038601,299.43,15.989,6.0714,-2.7282,0,0,0,1,0.00094075,1e-05,0,5.236e-13,59494
-0.18192,-0.026176,-0.013579,299.26,16.841,4.0603,-7.578,0,0,0,1,0.00093985,1e-05,0,5.236e-13,59494
-0.18249,0.00097627,-0.045688,299.46,15.927,6.4439,0.9225,0,0,0,1,0.00093793,1e-05,0,5.236e-13,47595
-0.18285,-0.0068678,-0.056423,299.62,15.661,5.1662,0.12158,0,0,0,1,0.0009305,1e-05,0,5.236e-13,59494
-0.18222,-0.0069161,-0.035769,299.49,16.373,7.4474,-0.98056,0,0,0,1,0.00091791,1e-05,0,5.236e-13,59494
-0.18267,-0.013901,-0.05499,299.71,15.649,5.1498,-0.53672,0,0,0,1,0.0009145,1e-05,0,5.236e-13,47595
-0.18295,-0.032157,-0.037153,299.64,15.843,4.9392,-3.3995,0,0,0,1,0.00091409,1e-05,0,5.236e-13,47595
-0.18288,-0.0043566,-0.036352,299.58,16.326,7.4693,-0.41913,0,0,0,1,0.00090389,1e-05,0,5.236e-13,59494
-0.18202,-0.027193,-0.0088897,299.52,16.929,2.769,-8.1704,0,0,0,1,0.00089416,1e-05,0,5.236e-13,59494
-0.18205,-0.02203,-0.012219,299.49,17.507,4.1182,-7.6546,0,0,0,1,0.00089299,1e-05,0,5.236e-13,47595
-0.1825,-0.01556,-0.023088,299.53,17.025,7.1588,-4.8692,0,0,0,1,0.00089125,1e-05,0,5.236e-13,47595
-0.18293,-0.014168,-0.048739,299.82,15.77,5.7603,-0.8991,0,0,0,1,0.00088676,1e-05,0,5.236e-13,59494
-0.18271,-0.029514,-0.0039525,299.59,16.75,1.2781,-8.405,0,0,0,1,0.0008852,1e-05,0,5.236e-13,59494
-0.1835,-0.011872,-0.046244,299.83,15.821,6.1532,-0.83743,0,0,0,1,0.0008817,1e-05,0,5.236e-13,59494
-0.18382,-0.058807,-0.038157,300.07,15.326,2.422,-3.1656,0,0,0,1,0.00087482,1e-05,0,5.236e-13,59494
-0.18317,-0.030896,-0.017255,299.76,16.298,4.123,-6.572,0,0,0,1,0.00087015,1e-05,0,5.236e-13,59494
-0.18404,-0.038913,-0.063058,300.12,15.352,3.2282,-1.8247,0,0,0,1,0.00086859,1e-05,0,5.236e-13,59494
-0.18397,-0.039877,-0.054203,300.1,15.38,3.6281,-2.1333,0,0,0,1,0.00086508,1e-05,0,5.236e-13,59494
-0.1836,-0.036485,-0.024243,299.9,15.957,4.1109,-5.1766,0,0,0,1,0.00086405,1e-05,0,5.236e-13,59494
-0.18356,-0.050056,-0.014074,300.01,15.75,2.175,-5.1223,0,0,0,1,0.00085976,1e-05,0,5.236e-13,59494
-0.18338,-0.015205,-0.049622,300.04,15.72,5.5929,-0.94029,0,0,0,1,0.00085366,1e-05,0,5.236e-13,59494
-0.18383,-0.058688,-0.025556,300.16,15.453,2.2345,-3.8336,0,0,0,1,0.00085159,1e-05,0,5.236e-13,59494
-0.18316,-0.012933,-0.031235,299.87,16.423,7.3907,-2.7539,0,0,0,1,0.00085055,1e-05,0,5.236e-13,59494
-0.18375,-0.04281,-0.013284,300,15.895,2.5419,-5.9767,0,0,0,1,0.00084951,1e-05,0,5.236e-13,59494
-0.18339,-0.0064482,-0.050726,300.08,15.732,5.7645,0.038148,0,0,0,1,0.00084639,1e-05,0,5.236e-13,59494
-0.18324,-0.010001,-0.032082,299.9,16.426,7.6237,-2.0763,0,0,0,1,0.00084574,1e-05,0,5.236e-13,59494
-0.18379,-0.013192,-0.042927,300.05,15.865,6.4271,-1.2795,0,0,0,1,0.00084159,1e-05,0,5.236e-13,59494
-0.18452,-0.053082,-0.044425,300.28,15.343,2.8406,-2.8702,0,0,0,1,0.00083899,1e-05,0,5.236e-13,59494
-0.18413,-0.040479,-0.019702,300.08,15.885,3.3448,-5.5073,0,0,0,1,0.00083744,1e-05,0,5.236e-13,59494
-0.18355,-0.013891,-0.025744,299.9,16.769,7.5006,-3.9918,0,0,0,1,0.00083692,1e-05,0,5.236e-13,59494
-0.18454,-0.052793,-0.037634,300.27,15.435,2.9165,-3.2629,0,0,0,1,0.00083601,1e-05,0,5.236e-13,59494
-0.18363,-0.037312,-0.031507,300.14,15.801,4.3192,-4.1179,0,0,0,1,0.00083497,1e-05,0,5.236e-13,59494
-0.18308,-0.0044611,-0.023569,299.86,17.709,8.3469,-1.7246,0,0,0,1,0.00083393,1e-05,0,5.236e-13,59494
-0.18405,-0.0077614,-0.046302,300.13,15.8,6.2785,-0.32994,0,0,0,1,0.00083202,1e-05,0,5.236e-13,47595
-0.18375,-0.017845,-0.027699,299.99,16.418,6.8745,-4.1666,0,0,0,1,0.00083144,1e-05,0,5.236e-13,47595
-0.18427,-0.030367,-0.032342,300.12,15.894,5.1382,-4.06,0,0,0,1,0.00083069,1e-05,0,5.236e-13,59494
-0.18392,-0.03295,-0.031184,300.14,15.871,4.8149,-4.2394,0,0,0,1,0.00082874,1e-05,0,5.236e-13,59494
-0.18437,-0.064452,-0.011304,300.33,15.407,1.1977,-4.1393,0,0,0,1,0.00082705,1e-05,0,5.236e-13,59494
-0.18426,-0.020709,-0.039795,300.16,15.858,6.0394,-2.4591,0,0,0,1,0.00082446,1e-05,0,5.236e-13,59494
-0.18402,-0.015489,-0.071749,300.43,15.299,3.669,-0.59428,0,0,0,1,0.00082031,1e-05,0,5.236e-13,59494
-0.18425,-0.016731,-0.060657,300.36,15.457,4.4834,-0.62856,0,0,0,1,0.0008194,1e-05,0,5.236e-13,59494
-0.18431,-0.041953,-0.024323,300.26,15.789,3.5288,-4.8252,0,0,0,1,0.00081628,1e-05,0,5.236e-13,59494
-0.18409,-0.013445,-0.064652,300.43,15.384,4.2346,-0.37292,0,0,0,1,0.00081252,1e-05,0,5.236e-13,59494
-0.18425,-0.034012,-0.063138,300.48,15.269,3.4887,-1.5943,0,0,0,1,0.00081213,1e-05,0,5.236e-13,59494
-0.18464,-0.046715,-0.037534,300.39,15.534,3.4172,-3.3073,0,0,0,1,0.00081125,1e-05,0,5.236e-13,47595
-0.18222,-0.011686,-0.015679,299.99,18.801,6.1293,-4.9333,0,0,0,1,0.00080992,1e-05,0,5.236e-13,47595
-0.18348,-0.013875,-0.022298,300.05,17.193,7.2622,-4.6236,0,0,0,1,0.00080859,1e-05,0,5.236e-13,47595
-0.18429,-0.01912,-0.025644,300.14,16.439,6.6564,-4.7342,0,0,0,1,0.00080694,1e-05,0,5.236e-13,59494
-0.18403,-0.034452,-0.033123,300.32,15.791,4.6443,-3.9307,0,0,0,1,0.0008059,1e-05,0,5.236e-13,59494
-0.18439,-0.018256,-0.038197,300.26,15.947,6.328,-2.4032,0,0,0,1,0.00080577,1e-05,0,5.236e-13,59494
-0.18472,-0.049104,-0.012451,300.38,15.721,2.0578,-5.2994,0,0,0,1,0.0008017,1e-05,0,5.236e-13,47595
-0.1843,-0.0033907,-0.028454,300.13,16.795,8.4355,-0.91798,0,0,0,1,0.00080161,1e-05,0,5.236e-13,59494
-0.18434,-0.0088041,-0.032861,300.21,16.329,7.5967,-1.7106,0,0,0,1,0.00080071,1e-05,0,5.236e-13,59494
-0.18485,-0.038914,-0.0066423,300.29,16.001,1.7968,-6.8756,0,0,0,1,0.00079798,1e-05,0,5.236e-13,59494
-0.18436,-0.038044,-0.018736,300.33,15.941,3.4545,-5.7603,0,0,0,1,0.00079538,1e-05,0,5.236e-13,59494
-0.18216,-0.0089805,-0.0096548,300.1,20.485,4.1069,-4.2494,0,0,0,1,0.00079123,1e-05,0,5.236e-13,59494
-0.18454,-0.041531,-0.021562,300.43,15.796,3.3775,-5.1665,0,0,0,1,0.00078721,1e-05,0,5.236e-13,59494
-0.18602,-0.036086,-0.066503,300.4,12.675,2.3477,-1.3707,1.4127,-0.61038,-0.19621,1,0.00078409,1e-05,0,5.236e-13,59494
-0.1841,-0.070117,-0.019169,300.67,15.225,1.1651,-3.5856,0,0,0,1,0.00078344,1e-05,0,5.236e-13,59494
