"Points:0","Points:1","Points:2"
-0.18537,-0.068321,-0.033382
-0.18548,-0.073504,-0.018221
-0.19107,-0.031087,-0.069444
-0.18515,-0.075818,-0.002614
-0.18136,-0.018451,-0.044817
-0.18154,-0.007698,-0.045676
-0.18136,-0.0087662,-0.047858
-0.1815,-0.011361,-0.044605
-0.18133,-0.046854,-0.018046
-0.18185,-0.024058,-0.036372
-0.18151,-0.01173,-0.053226
-0.18372,-0.059198,-0.047032
-0.1813,-0.033142,-0.039629
-0.18175,-0.0034888,-0.047216
-0.18206,-0.026663,-0.024839
-0.18237,-0.0066289,-0.045818
-0.18239,-0.02431,-0.040155
-0.18219,-0.0010785,-0.028155
-0.18901,-0.044728,-0.061519
-0.18204,-0.030611,-0.017419
-0.18261,-0.026095,-0.030679
-0.18244,-0.03876,-0.025742
-0.182,-0.011562,-0.036488
-0.18308,-0.028155,-0.031605
-0.1832,-0.030581,-0.040927
-0.18255,0.0014333,-0.029687
-0.18298,-0.010074,-0.024101
-0.18217,-0.0069739,-0.024121
-0.18266,-0.0085022,-0.034006
-0.18478,-0.056015,-0.0508
-0.18354,-0.0020605,-0.046492
-0.18151,-0.015672,-0.010478
-0.18368,-0.040126,-0.031429
-0.18366,-0.042496,-0.0099951
-0.18337,-0.026618,-0.0098146
-0.18403,-0.010835,-0.056018
-0.18377,-0.060481,-0.0095401
-0.18366,-0.0088808,-0.047765
-0.18383,-0.045207,-0.040843
-0.18382,-0.042742,-0.025976
-0.18438,-0.064455,-0.038419
-0.18422,-0.026265,-0.040794
-0.18409,-0.019591,-0.025399
-0.18424,-0.027768,-0.05497
-0.18447,-0.049314,-0.052061
-0.18422,-0.054355,-0.019376
-0.18325,-0.029464,-0.020045
-0.18453,-0.0062884,-0.057272
-0.18184,-0.014863,-0.0092826
-0.18439,-0.036973,-0.014596
-0.18433,-0.053391,-0.029283
-0.18458,-0.052527,-0.01786
-0.18474,-0.034187,-0.060635
-0.18449,-0.0091235,-0.044102
-0.18461,-0.034441,-0.035853
-0.18409,-0.029798,-0.036183
-0.18391,-0.038132,-0.0071399
-0.1841,-0.061181,-0.012122
-0.18465,-0.055823,-0.01346
-0.18467,-0.059891,-0.045253
-0.1845,-0.010393,-0.041296
-0.18493,-0.072347,-0.0085137
-0.18392,-0.010459,-0.037718
-0.18438,-0.024231,-0.020137
-0.18307,-0.0021498,-0.018926
-0.18505,-0.039953,-0.0066142
-0.18452,-0.026548,-0.038258
-0.18475,-0.0025447,-0.073142
-0.1851,-0.036281,-0.051477
-0.18494,-0.069409,-0.028205
-0.18223,-0.015245,-0.0061764
-0.18524,-0.040914,-0.029259
-0.18535,-0.022828,-0.047581
-0.18465,-0.0038184,-0.068877
-0.18541,-0.034077,-0.066893
-0.1855,-0.0097398,-0.061121
-0.18442,-0.010097,-0.019152
-0.18174,-0.00054212,-0.014504
-0.18482,-0.057556,-0.02552
-0.18555,-0.05805,-0.026801
-0.18525,-0.023424,-0.0086056
-0.18567,-0.04885,-0.048099
-0.18462,-0.0073443,-0.025987
-0.19094,-0.026656,-0.071286
-0.1852,-0.042376,-0.0044429
-0.18581,-0.049743,-0.0080121
-0.18563,-0.039906,-0.033725
-0.19003,-0.031198,-0.069356
-0.18551,-0.018814,-0.054242
-0.18537,-0.022679,-0.0084927
-0.18762,-0.055037,-0.052052
-0.1854,-0.047587,-0.0086888
-0.18515,-0.035534,-0.062145
-0.18598,-0.028938,-0.043963
-0.18611,-0.064741,-0.035059
-0.18627,-0.069361,-0.010133
-0.18581,-0.059422,-0.025094
-0.18588,-0.039001,-0.024399
-0.18573,-0.032652,-0.036739
-0.18563,-0.016261,-0.041096
-0.18584,-0.028405,-0.061051
-0.18586,-0.043732,-0.016595
-0.18615,-0.042039,-0.028238
-0.18609,-0.043364,-0.04103
-0.18163,-0.0075707,-0.0068325
-0.18585,-0.040303,-0.036514
-0.18632,-0.015964,-0.055331
-0.18654,-0.039835,-0.054807
-0.18648,-0.010937,-0.046595
-0.18639,-0.069026,-0.028635
-0.18271,0.0012685,-0.013581
-0.18606,-0.047836,-0.044369
-0.18627,-0.018584,-0.031485
-0.186,-0.0022044,-0.023014
-0.18572,-0.0055911,-0.022987
-0.18351,-0.0019891,-0.01504
-0.1854,-0.011409,-0.037456
-0.18631,-0.018822,-0.057732
-0.18664,-0.046422,-0.055257
-0.18639,-0.037589,-0.015174
-0.18654,-0.03373,-0.065681
-0.18652,-0.038912,-0.034123
-0.18659,-0.022058,-0.065288
-0.18614,-0.032081,-0.035852
-0.18635,-0.026764,-0.012126
-0.18667,-0.017907,-0.071646
-0.18633,-0.072235,-0.019923
-0.18638,-0.057131,-0.030996
-0.18798,-0.075275,-0.0077991
-0.18655,-0.013266,-0.02343
-0.18725,-0.038205,-0.060404
-0.18649,-0.012668,-0.063048
-0.18728,-0.027237,-0.039307
-0.1863,-0.027863,-0.02705
-0.18705,-0.041411,-0.056066
-0.18681,-0.066435,-0.022496
-0.18664,-0.021111,-0.014499
-0.18685,-0.039271,-0.0055971
-0.18648,-0.014772,-0.026513
-0.1871,-0.014708,-0.061659
-0.18736,-0.056689,-0.0045403
-0.18732,-0.0065145,-0.039237
-0.18431,-0.025054,-0.0042931
-0.18723,-0.036797,-0.022739
-0.18703,-0.032277,-0.019873
-0.18763,-0.040851,-0.04601
-0.18722,-0.0085396,-0.045548
-0.18625,0.0016021,-0.01932
-0.18845,-0.033884,-0.067722
-0.18783,-0.029827,-0.066548
-0.18778,-0.010483,-0.06419
-0.18778,-0.019348,-0.05235
-0.18665,-0.010521,-0.018166
-0.18761,-0.0077846,-0.075167
-0.18744,-0.063662,-0.010936
-0.1878,-0.03498,-0.034976
-0.18764,-0.048145,-0.025521
-0.18776,-0.030952,-0.011912
-0.18789,-0.054579,-0.025963
-0.18771,-0.0033101,-0.023543
-0.18806,-0.057708,-0.004522
-0.18763,-0.022742,-0.0058557
-0.18793,-0.054011,-0.0066699
-0.18783,-0.018674,-0.030119
-0.18759,-0.026937,-0.024179
-0.18777,-0.012871,-0.065187
-0.18821,-0.011777,-0.068331
-0.18725,-0.032162,-0.056132
-0.18659,-0.01644,-0.006157
-0.18786,-0.020337,-0.013183
-0.18794,-0.0029415,-0.070119
-0.18967,-0.062254,-0.043226
-0.18812,-0.027588,-0.027331
-0.18711,-0.0015929,-0.022066
-0.18794,-0.047679,-0.031735
-0.18828,-0.024516,-0.0051248
-0.18781,-0.00022957,-0.038583
-0.18831,-0.017174,-0.071259
-0.18746,-0.014713,-0.014092
-0.1887,-0.07224,-0.020274
-0.18851,-0.011669,-0.027033
-0.18831,-0.063057,-0.0033263
-0.18799,-0.036644,-0.062318
