"Points:0","Points:1","Points:2"
-0.18948,-0.069205,-0.031737
-0.18423,-0.010203,-0.075336
-0.19006,-0.013582,-0.074906
-0.18538,-0.0043357,-0.075624
-0.18356,-0.071817,-0.0249
-0.18158,-0.014194,-0.05522
-0.18152,-0.0065411,-0.048421
-0.18149,-0.041858,-0.009516
-0.18149,-0.032214,-0.016741
-0.1822,-0.014361,-0.052451
-0.18176,-0.010808,-0.03291
-0.18193,-0.013774,-0.048492
-0.18202,-0.03106,-0.022088
-0.18218,-0.042434,-0.021808
-0.18214,-0.020433,-0.038639
-0.1814,-0.024655,-0.013094
-0.18219,-0.0081192,-0.056009
-0.1819,-0.023525,-0.0088902
-0.18215,-0.0057557,-0.035505
-0.1828,-0.013791,-0.055594
-0.18291,-0.033067,-0.036192
-0.18276,-0.0042145,-0.034462
-0.18231,-0.025752,-0.010919
-0.18254,-0.020993,-0.013608
-0.1822,-0.015538,-0.023085
-0.18268,-0.014442,-0.048723
-0.18267,-0.028505,-0.0052103
-0.18297,-0.012157,-0.046422
-0.1837,-0.065166,-0.028309
-0.18388,-0.060039,-0.036211
-0.18338,-0.029235,-0.017873
-0.18369,-0.04022,-0.054453
-0.18332,-0.036817,-0.024518
-0.18364,-0.049871,-0.013278
-0.18342,-0.01733,-0.047889
-0.18396,-0.050106,-0.015939
-0.18288,-0.012912,-0.031894
-0.18333,-0.043611,-0.0121
-0.18393,-0.0054293,-0.050973
-0.18327,-0.010437,-0.030737
-0.18377,-0.012704,-0.044536
-0.18423,-0.054216,-0.04386
-0.18383,-0.0015688,-0.068343
-0.18408,-0.039368,-0.020741
-0.18371,-0.011359,-0.025681
-0.18437,-0.052953,-0.037676
-0.18397,-0.037014,-0.032495
-0.18338,-0.0021029,-0.023956
-0.18427,-0.067413,-0.018457
-0.18434,-0.0065227,-0.046986
-0.18353,-0.018764,-0.027305
-0.18372,-0.030342,-0.031712
-0.18412,-0.032175,-0.031282
-0.18413,-0.06476,-0.012053
-0.18439,-0.021304,-0.040287
-0.18405,-0.016308,-0.071261
-0.18433,-0.017049,-0.059933
-0.18404,-0.039482,-0.025171
-0.18434,-0.016375,-0.063786
-0.18403,-0.034669,-0.062305
-0.18468,-0.046412,-0.037783
-0.18427,-0.034584,-0.055623
-0.18213,-0.011215,-0.016185
-0.18389,-0.011305,-0.022477
-0.18375,-0.023102,-0.025781
-0.1844,-0.034088,-0.033314
-0.1844,-0.017758,-0.038714
-0.18434,-0.032574,-0.027428
-0.18467,-0.049046,-0.012529
-0.1841,-0.0047068,-0.028838
-0.18418,-0.039062,-0.0070215
-0.18453,-0.037377,-0.019965
-0.1849,-0.0414,-0.020877
-0.18484,-0.047222,-0.027648
-0.1842,-0.01587,-0.022542
-0.18798,-0.038554,-0.065551
-0.18438,-0.070296,-0.019262
-0.18502,-0.048236,-0.054859
-0.18511,-0.062705,-0.0064819
-0.18498,-0.0073098,-0.058827
-0.18498,-0.0079199,-0.033175
-0.18486,-0.051313,-0.020709
-0.18478,-0.0064282,-0.061234
-0.18532,-0.04504,-0.059256
-0.18478,-0.015858,-0.03724
-0.18508,-0.050513,-0.046324
-0.18518,-0.045299,-0.053391
-0.1847,-0.012463,-0.02223
-0.18504,-0.031914,-0.012281
-0.18321,-0.014448,-0.010932
-0.18233,-0.03166,-0.0053654
-0.18466,-0.069449,-0.025194
-0.18532,-0.044753,-0.0078181
-0.18544,-0.064579,-0.0050897
-0.1843,-0.00098698,-0.023213
-0.1831,0.00086136,-0.015615
-0.1854,-0.042527,-0.018222
-0.18568,-0.05258,-0.031867
-0.18505,-0.014077,-0.036473
-0.18527,-0.031493,-0.018537
-0.18584,-0.023263,-0.064597
-0.18595,-0.065444,-0.03307
-0.18566,-0.052968,-0.042159
-0.18533,-0.0022468,-0.047635
-0.1855,-0.0094658,-0.058888
-0.18595,-0.07086,-0.017578
-0.18563,-0.033969,-0.013508
-0.18547,-0.016597,-0.019514
-0.1858,-0.064633,-0.0055166
-0.18507,0.002088,-0.029869
-0.18599,-0.032435,-0.04151
-0.18631,-0.051622,-0.030267
-0.18589,-0.047027,-0.010673
-0.18626,-0.038417,-0.061839
-0.1901,-0.067837,-0.033909
-0.18396,-0.0054725,-0.015029
-0.18619,-0.043849,-0.049414
-0.18673,-0.023666,-0.059777
-0.18618,-0.032729,-0.027812
-0.18622,-0.0072954,-0.070623
-0.186,-0.028956,-0.05234
-0.1864,-0.044999,-0.058185
-0.18576,-0.025303,-0.0051008
-0.18646,-0.021486,-0.044033
-0.18692,-0.063006,-0.031713
-0.18622,-0.0019403,-0.060151
-0.18654,-0.046541,-0.0071718
-0.18692,-0.047366,-0.032904
-0.18571,-0.017078,-0.016944
-0.18596,-0.043602,-0.046804
-0.1864,-0.025841,-0.029936
-0.18626,-0.047298,-0.030003
-0.18684,-0.033631,-0.065957
-0.18682,-0.025664,-0.0076914
-0.18642,-0.035641,-0.044904
-0.1855,-0.0082012,-0.018711
-0.18726,-0.049476,-0.035593
-0.18626,-0.0076014,-0.028842
-0.18723,-0.010314,-0.052188
-0.18711,-0.024763,-0.039531
-0.1865,-0.040498,-0.059598
-0.18691,-0.053705,-0.023966
-0.18742,-0.00043598,-0.071752
-0.18616,-0.013179,-0.018609
-0.18583,-0.011878,-0.016983
-0.18663,-0.022517,-0.010417
-0.18747,-0.064465,-0.021723
-0.18749,-0.059474,-0.028946
-0.18728,-0.073818,-0.0047406
-0.18349,-0.0040929,-0.0023914
-0.1874,-0.02822,-0.03915
-0.18736,-0.035857,-0.044917
-0.18532,-0.0041452,-0.016848
-0.18335,-0.00032574,-0.0029774
-0.18679,-0.059589,-0.011151
-0.18703,-0.010128,-0.072817
-0.18708,-0.0068865,-0.040269
-0.18763,-0.071569,-0.021108
-0.18737,-0.00049839,-0.028381
-0.18777,-0.043579,-0.003959
-0.18809,-0.068296,-0.010187
-0.18763,-0.042577,-0.024619
-0.18747,-0.023733,-0.016472
-0.18643,-0.013591,-0.011721
-0.18783,-0.018003,-0.071513
-0.18761,-0.013525,-0.030539
-0.18765,-0.056584,-0.018622
-0.18782,-0.056748,-0.020457
-0.1881,-0.030289,-0.041939
-0.18804,-0.044437,-0.053406
-0.18761,-0.033068,-0.020494
-0.18768,-0.032376,-0.028941
-0.18731,-0.0045243,-0.025614
-0.18759,-0.0061745,-0.046883
-0.18837,-0.067786,-0.021031
-0.18821,-0.065151,-0.031295
-0.18548,0.00069629,-0.012178
-0.1882,-0.031854,-0.045159
-0.18592,-0.0075051,-0.011146
-0.18818,-0.0034676,-0.033846
-0.18823,-0.0037946,-0.055284
-0.18846,-0.0047063,-0.054172
-0.18797,-0.054757,-0.041409
-0.18833,-0.024499,-0.010726
-0.18844,-0.067091,-0.019331
-0.18866,-0.012429,-0.037176
-0.18861,-0.055255,-0.03594
-0.18843,-0.0066357,-0.046392
-0.18836,-0.029099,-0.058364
-0.18844,-0.036656,-0.020622
-0.18868,-0.046861,-0.023598
-0.1886,-0.029514,-0.034078
-0.1888,-0.008051,-0.055946
-0.18863,-0.026666,-0.059418
-0.18899,-0.029438,-0.046696
-0.18862,-0.049972,-0.021605
-0.18884,-0.032903,-0.039344
-0.18871,-0.017939,-0.030783
-0.18908,-0.037694,-0.041632
-0.18861,-0.010184,-0.069538
-0.18906,-0.061574,-0.021182
-0.18825,-0.03831,-0.063972
-0.18898,-0.058628,-0.0099417
-0.18877,-0.035135,-0.021527
-0.18903,-0.041439,-0.043305
-0.18855,-0.027408,-0.024853
-0.18943,-0.056699,-0.0065069
-0.18938,-0.05424,-0.015582
-0.18935,-0.068521,-0.02976
-0.18923,-0.047277,-0.049876
-0.18942,-0.04461,-0.05764
-0.18927,-0.030596,-0.044094
-0.18894,-0.024305,-0.017307
-0.1897,-0.066271,-0.0097585
-0.18903,-0.065586,-0.029194
-0.18973,-0.040494,-0.012026
-0.18959,-0.053512,-0.0081784
-0.18976,-0.055341,-0.0049191
-0.1897,-0.030674,-0.064059
-0.18986,-0.041065,-0.039015
-0.18951,-0.019571,-0.017719
-0.1899,-0.019798,-0.021683
-0.18993,-0.039243,-0.048994
-0.18991,-0.032824,-0.057172
-0.18998,0.00012214,-0.032229
-0.18878,-0.019251,-0.0095198
-0.18991,-0.031425,-0.038608
-0.18915,-0.014117,-0.019934
-0.18981,-0.051047,-0.029277
-0.19009,-0.030742,-0.051332
-0.19024,-0.0040558,-0.059456
-0.18989,-0.054533,-0.037411
-0.18987,-0.054669,-0.02246
-0.18915,-0.016459,-0.014261
-0.1903,-0.036951,-0.0144
-0.19015,-0.053231,-0.043722
-0.1873,-0.025674,-0.0028548
-0.18926,-0.011317,-0.074562
-0.19041,-0.047805,-0.017577
-0.19037,-0.040797,-0.031153
-0.18193,-0.0022521,0.0012877
-0.19017,-0.010201,-0.029042
-0.18755,-0.0019481,-0.0032519
-0.19058,-0.022617,-0.038761
-0.19039,-0.030272,-0.064765
-0.18756,-0.025498,-0.002305
-0.19009,-0.032945,-0.066994
-0.19045,-0.055379,-0.045655
-0.19059,-0.053795,-0.037068
-0.1899,-0.017786,-0.060734
-0.1839,-0.03927,-0.001544
-0.19076,-0.014547,-0.056624
-0.19013,-0.0045021,-0.073576
-0.19209,-0.075235,-0.010775
-0.19063,-0.05028,-0.030106
-0.19088,-0.026515,-0.036713
-0.19037,-0.0091591,-0.023977
-0.19097,-0.036083,-0.030393
-0.19105,-0.058186,-0.039793
-0.19098,-0.075119,-0.0010995
-0.1908,-0.056013,-0.038556
-0.19113,-0.034933,-0.016167
-0.1904,-0.020964,-0.008207
-0.18965,-0.07465,-0.010259
-0.19087,-0.024609,-0.026696
-0.19113,-0.043064,-0.0045106
-0.19085,-0.03209,-0.062437
-0.19124,-0.022758,-0.043166
-0.191,-0.0022813,-0.048807
-0.19129,-0.014833,-0.060435
-0.19095,-0.069652,-0.018965
-0.1911,-0.062512,-0.024033
-0.19086,-0.0034624,-0.059631
-0.1914,-0.023139,-0.047263
-0.19112,-0.033033,-0.058575
-0.19078,-0.01412,-0.022106
-0.19119,-0.034313,-0.047004
-0.18982,-0.0091005,-0.01146
-0.19149,-0.052245,-0.0097621
-0.19153,-0.030836,-0.042474
-0.19151,-0.063964,-0.00089325
-0.19076,-0.032357,-0.06639
