"Points:0","Points:1","Points:2"
-0.18596,-0.017712,-0.074066
-0.18754,-0.047677,-0.059088
-0.18393,-0.0024549,-0.075742
-0.18133,-0.03657,-0.023922
-0.1816,-0.0020037,-0.048412
-0.1816,-0.0064108,-0.048561
-0.18146,-0.022311,-0.041268
-0.1819,-0.039958,-0.0096795
-0.18174,-0.015442,-0.052358
-0.18163,-0.026869,-0.019622
-0.18163,-0.013044,-0.047733
-0.18183,-0.040622,-0.020546
-0.18166,-0.032754,-0.020473
-0.18213,-0.041748,-0.022451
-0.18227,-0.022078,-0.040199
-0.18216,-0.0079335,-0.056109
-0.18251,-0.0055225,-0.036159
-0.18249,-0.016275,-0.054014
-0.18298,-0.033446,-0.037134
-0.18254,-0.0043861,-0.035548
-0.18172,-0.024005,-0.008448
-0.18192,-0.022631,-0.010684
-0.18218,-0.016989,-0.022245
-0.18334,-0.01366,-0.047867
-0.18245,-0.028501,-0.0038402
-0.18325,-0.010535,-0.048549
-0.18295,-0.029731,-0.0159
-0.18388,-0.03945,-0.054487
-0.18337,-0.0367,-0.022903
-0.18384,-0.049508,-0.012963
-0.18325,-0.015571,-0.049808
-0.18375,-0.050359,-0.015873
-0.18363,-0.012456,-0.031775
-0.18374,-0.043116,-0.013298
-0.18394,-0.0048756,-0.050763
-0.18303,-0.0099169,-0.03201
-0.18362,-0.0041116,-0.033295
-0.18363,-0.013388,-0.043297
-0.18406,-0.052078,-0.045219
-0.18363,-0.039474,-0.02056
-0.18269,-0.014869,-0.026637
-0.18408,-0.052764,-0.037127
-0.18389,-0.035353,-0.032729
-0.18261,-0.0039518,-0.023031
-0.18389,-0.042891,-0.019144
-0.18368,-0.0060738,-0.048321
-0.18386,-0.019826,-0.027418
-0.18373,-0.028854,-0.033196
-0.18421,-0.032292,-0.031183
-0.1841,-0.021275,-0.040583
-0.18459,-0.018789,-0.070483
-0.18452,-0.017452,-0.059912
-0.18441,-0.0097568,-0.060708
-0.18441,-0.016962,-0.063655
-0.18473,-0.032343,-0.063913
-0.18394,-0.04591,-0.037092
-0.18246,-0.011744,-0.014568
-0.18336,-0.014456,-0.021914
-0.18393,-0.02301,-0.025485
-0.18448,-0.03413,-0.032525
-0.18458,-0.018261,-0.037407
-0.18448,-0.048969,-0.011166
-0.18335,-0.0049524,-0.028769
-0.18429,-0.0092023,-0.033629
-0.18473,-0.039399,-0.0068025
-0.18472,-0.036473,-0.01908
-0.18172,-0.010064,-0.0091867
-0.18453,-0.040983,-0.022466
-0.19099,-0.03473,-0.067537
-0.18466,-0.069341,-0.020059
-0.18473,-0.028371,-0.02755
-0.18482,-0.046697,-0.056647
-0.18528,-0.062789,-0.0039546
-0.18452,-0.0075058,-0.033243
-0.18486,-0.051962,-0.02003
-0.18258,-0.0089836,-0.0024263
-0.18502,-0.0052136,-0.061842
-0.18543,-0.043366,-0.060446
-0.18445,-0.059188,-0.016145
-0.18518,-0.049399,-0.047085
-0.18492,-0.044756,-0.054041
-0.18559,-0.031534,-0.062991
