"Points:0","Points:1","Points:2"
-0.18679,-0.045893,-0.060729
-0.18894,-0.025402,-0.071658
-0.18556,-0.021309,-0.072836
-0.1858,-0.02144,-0.073038
-0.18417,-0.013914,-0.074557
-0.18713,-0.072449,-0.022971
-0.18704,-0.075865,-0.0040992
-0.19185,-0.047538,-0.059471
-0.18357,-0.045887,-0.060224
-0.18458,-0.0033171,-0.075568
-0.18125,-0.036829,-0.028072
-0.18128,-0.036339,-0.024015
-0.18154,-0.023776,-0.043561
-0.1812,-0.013606,-0.055162
-0.1817,-0.0055786,-0.048333
-0.18175,-0.040709,-0.010227
-0.18134,-0.031278,-0.017318
-0.1819,-0.012651,-0.052924
-0.18195,-0.00028517,-0.044397
-0.18193,-0.025791,-0.021156
-0.18227,-0.014605,-0.047962
-0.18191,-0.041346,-0.020178
-0.18189,-0.029711,-0.021025
-0.19039,-0.070015,-0.02981
-0.18232,-0.044303,-0.021393
-0.18213,-0.022769,-0.037474
-0.18189,-0.024201,-0.013643
-0.1816,-0.020123,-0.014683
-0.18266,-0.0065189,-0.056254
-0.18243,-0.0058574,-0.03548
-0.18283,-0.014746,-0.054764
-0.18311,-0.033763,-0.036116
-0.18215,-0.0030043,-0.034344
-0.1821,-0.024083,-0.01022
-0.18198,-0.022967,-0.013005
-0.18267,-0.01871,-0.022771
-0.18324,-0.013579,-0.047344
-0.18208,-0.029172,-0.0042739
-0.18327,-0.011796,-0.047941
-0.18385,-0.066233,-0.026974
-0.1837,-0.060788,-0.035101
-0.18322,-0.029598,-0.016542
-0.18398,-0.039333,-0.054897
-0.18296,-0.036742,-0.024551
-0.18367,-0.050112,-0.013101
-0.18387,-0.016769,-0.049085
-0.18404,-0.049047,-0.01755
-0.18419,-0.059582,-0.024753
-0.18358,-0.013475,-0.031941
-0.18346,-0.044696,-0.012628
-0.18387,-0.0067422,-0.051199
-0.1832,-0.009238,-0.030865
-0.18412,-0.012384,-0.0431
-0.1842,-0.051626,-0.045942
-0.18378,-0.039691,-0.020578
-0.18348,-0.01413,-0.026393
-0.18403,-0.052362,-0.037708
-0.18393,-0.035149,-0.033059
-0.18317,-0.0024922,-0.025208
-0.18414,-0.068666,-0.014614
-0.18417,-0.0064104,-0.047897
-0.18335,-0.019134,-0.026878
-0.18395,-0.029031,-0.03271
-0.1843,-0.033367,-0.030982
-0.18449,-0.06472,-0.010606
-0.18412,-0.019638,-0.041446
-0.18388,-0.015574,-0.071261
-0.18405,-0.017426,-0.059882
-0.18443,-0.041985,-0.023943
-0.18392,-0.013191,-0.065241
-0.18429,-0.034596,-0.062766
-0.18445,-0.044753,-0.038983
-0.18386,-0.035941,-0.054403
-0.182,-0.0085376,-0.016169
-0.18334,-0.013761,-0.023168
-0.18449,-0.019579,-0.025465
-0.18437,-0.035295,-0.032233
-0.18402,-0.017024,-0.039105
-0.18466,-0.031556,-0.027263
-0.18444,-0.049063,-0.011171
-0.18446,-0.0026169,-0.029217
-0.18436,-0.039201,-0.006846
-0.18455,-0.036361,-0.018147
-0.18186,-0.010051,-0.011656
-0.18419,-0.040052,-0.022041
-0.18455,-0.04758,-0.027457
-0.18417,-0.019575,-0.022957
-0.18472,-0.037219,-0.065491
-0.18528,-0.069293,-0.021194
-0.18499,-0.04657,-0.056449
-0.18508,-0.062383,-0.0036397
-0.18498,-0.0062708,-0.058601
-0.18417,-0.0066772,-0.033935
-0.18488,-0.052223,-0.019619
-0.1852,-0.00475,-0.062078
-0.1848,-0.045652,-0.058487
-0.18453,-0.016348,-0.034318
-0.18563,-0.047912,-0.048179
-0.18516,-0.045454,-0.053744
-0.18476,-0.013335,-0.022951
-0.18524,-0.033484,-0.062923
-0.18501,-0.030052,-0.013875
-0.18402,-0.016509,-0.012104
-0.18572,-0.069858,-0.025696
-0.18558,-0.044936,-0.0067128
-0.18527,-0.064243,-0.0062612
-0.18459,-0.00092176,-0.023005
-0.18303,-0.00045286,-0.015282
-0.18521,-0.043139,-0.018033
-0.18334,-0.0084026,-0.015333
-0.18579,-0.051692,-0.033809
-0.18263,-0.029357,-0.0038658
-0.18545,-0.045424,-0.01497
-0.18571,-0.013331,-0.03897
-0.18521,-0.030707,-0.018837
-0.18589,-0.021044,-0.065435
-0.18617,-0.066144,-0.031872
-0.18555,-0.050133,-0.04436
-0.18593,-0.0036255,-0.047255
-0.18605,-0.0095411,-0.058744
-0.18628,-0.071768,-0.015395
-0.18549,-0.032234,-0.013124
-0.18476,-0.016482,-0.018779
-0.18546,-0.064296,-0.0066186
-0.18517,0.0012865,-0.030574
-0.18621,-0.032402,-0.042001
-0.18624,-0.050784,-0.030933
-0.18589,-0.046525,-0.011695
-0.18613,-0.039907,-0.060777
-0.19129,-0.068187,-0.033495
-0.18608,-0.038771,-0.049679
-0.18416,-0.0051741,-0.013245
-0.18606,-0.045087,-0.048149
-0.18626,-0.016289,-0.070111
-0.18665,-0.0244,-0.059288
-0.1866,-0.0061095,-0.070655
-0.18632,-0.030072,-0.051649
-0.18665,-0.043522,-0.05914
-0.18599,-0.025276,-0.0043932
-0.18688,-0.045426,-0.037542
-0.18645,-0.021807,-0.04381
-0.1867,-0.027257,-0.034928
-0.18685,-0.0013371,-0.060256
-0.18691,-0.04671,-0.0082103
-0.18659,-0.046942,-0.033559
-0.18555,-0.016831,-0.015857
-0.18689,-0.041293,-0.049271
-0.18613,-0.029223,-0.0031505
-0.18675,-0.024745,-0.028947
-0.18698,-0.046251,-0.03021
-0.18642,-0.052461,-0.048414
-0.18668,-0.036468,-0.064085
-0.18622,-0.026829,-0.0077186
-0.18692,-0.00022364,-0.059456
-0.18687,-0.036585,-0.044575
-0.18566,-0.0092652,-0.018393
-0.18686,-0.049914,-0.03475
-0.18655,-0.0096002,-0.027331
-0.18673,-0.011752,-0.051724
-0.18694,-0.023948,-0.03962
-0.18716,-0.039951,-0.060104
-0.18669,-0.054158,-0.024233
-0.18604,-0.011186,-0.017243
-0.18559,-0.016304,-0.017043
-0.18667,-0.023341,-0.011345
-0.18702,-0.063541,-0.02223
-0.18725,-0.060468,-0.02715
-0.1864,-0.074154,-0.0073665
-0.18321,-0.00034305,-0.00040648
-0.18755,-0.027041,-0.040205
-0.18755,-0.038306,-0.042948
-0.18591,-0.0029441,-0.018315
-0.18402,0.0010541,-0.0041171
-0.18705,-0.060018,-0.011185
-0.18774,-0.011936,-0.072406
-0.1876,-0.0076376,-0.039246
-0.18703,-0.072555,-0.019635
-0.1873,-0.00040019,-0.029977
-0.18773,-0.043884,-0.0032353
-0.18756,-0.068741,-0.0084033
-0.18789,-0.044066,-0.024222
-0.1872,-0.024778,-0.015388
-0.18594,-0.015782,-0.010318
-0.18741,-0.016065,-0.072095
-0.18777,-0.013079,-0.029166
-0.18801,-0.057354,-0.016337
-0.18755,-0.056897,-0.021023
-0.18798,-0.029426,-0.042181
-0.18778,-0.045107,-0.052467
-0.18747,-0.033315,-0.020784
-0.18817,-0.03176,-0.027695
-0.18777,-0.0061877,-0.026015
-0.18815,-0.0072528,-0.047068
-0.18748,-0.066802,-0.023208
-0.18836,-0.066283,-0.029853
-0.1856,0.00075793,-0.012173
-0.18835,-0.033623,-0.044083
-0.18604,-0.0081518,-0.01218
-0.18828,-0.0035229,-0.034262
-0.19114,-0.0018275,-0.075913
-0.1878,-0.0055986,-0.054581
-0.18808,-0.0048045,-0.053839
-0.18852,-0.0554,-0.040554
-0.1875,-0.026367,-0.0092071
-0.18873,-0.066052,-0.021324
-0.18881,-0.012617,-0.035965
-0.18853,-0.055776,-0.03618
-0.18911,-0.0073935,-0.044536
-0.18895,-0.029854,-0.057593
-0.18901,-0.035592,-0.020178
-0.18872,-0.046461,-0.022994
-0.18892,-0.02917,-0.034672
-0.18847,-0.0064704,-0.05598
-0.18907,-0.026962,-0.059843
-0.18884,-0.029992,-0.047096
-0.18304,-0.031399,-0.004186
-0.18907,-0.04858,-0.022456
-0.18881,-0.037698,-0.033404
-0.18861,-0.032253,-0.040261
-0.18867,-0.017815,-0.032287
-0.18927,-0.03773,-0.04311
-0.18867,-0.01406,-0.068704
-0.18931,-0.042119,-0.060583
-0.18938,-0.059083,-0.0094152
-0.18901,-0.033437,-0.020408
-0.18915,-0.042,-0.042285
-0.18894,-0.028832,-0.024032
-0.18954,-0.054715,-0.014357
-0.1829,-0.0028105,0.0016464
-0.18949,-0.068802,-0.030117
-0.18946,-0.043614,-0.058829
-0.1898,-0.032639,-0.042914
-0.18961,-0.027744,-0.016425
-0.1896,-0.065803,-0.010346
-0.18964,-0.031475,-0.053536
-0.19001,-0.06383,-0.031866
-0.18923,-0.053597,-0.0087848
-0.19006,-0.056014,-0.0034872
-0.18958,-0.026546,-0.065915
-0.18996,-0.040556,-0.039124
-0.18964,-0.020426,-0.017821
-0.1892,-0.021973,-0.02193
-0.18976,-0.038776,-0.0487
-0.18985,-0.031197,-0.058904
-0.19,0.00031169,-0.030961
-0.18947,-0.020044,-0.008836
-0.18994,-0.030092,-0.038207
-0.18954,-0.013086,-0.021935
-0.19025,-0.050623,-0.029689
-0.19029,-0.0315,-0.050819
-0.18993,-0.0051959,-0.059373
-0.19035,-0.055488,-0.036786
-0.19011,-0.054183,-0.022773
-0.18919,-0.019303,-0.013901
-0.18994,-0.036253,-0.01595
-0.18928,-0.051818,-0.045478
-0.19167,-0.01249,-0.074997
-0.18996,-0.048033,-0.018848
-0.18967,-0.041429,-0.031365
-0.19029,-0.01009,-0.029276
-0.1885,0.00030676,-0.0031265
-0.19006,-0.023403,-0.03895
-0.19025,-0.028258,-0.066037
-0.19005,-0.031896,-0.067908
-0.18716,-0.027531,-0.0027111
-0.19007,-0.053852,-0.047131
-0.19042,-0.053584,-0.037767
-0.19051,-0.016839,-0.061367
-0.19067,-0.014423,-0.056888
-0.19071,-0.0041263,-0.073532
-0.19179,-0.075081,-0.010722
-0.19069,-0.050798,-0.029878
-0.19078,-0.027015,-0.036704
-0.19057,-0.0090984,-0.025636
-0.1905,-0.035908,-0.030737
-0.19081,-0.05935,-0.038394
-0.19078,-0.075288,-0.0032223
-0.19083,-0.054792,-0.039641
-0.19058,-0.034393,-0.015499
-0.19036,-0.022142,-0.009809
-0.19212,-0.075571,-0.0073027
-0.19113,-0.025727,-0.027187
-0.19104,-0.043452,-0.0051021
-0.19137,-0.032273,-0.062502
-0.19123,-0.022056,-0.044468
-0.19097,-0.0017487,-0.048794
-0.19063,-0.017442,-0.058668
-0.19068,-0.070457,-0.01829
-0.19123,-0.061689,-0.02527
-0.19133,-0.0051327,-0.059714
-0.19143,-0.025422,-0.045999
-0.19096,-0.033446,-0.058597
-0.18757,-0.026816,-0.0029956
-0.1909,-0.0136,-0.021485
-0.19141,-0.03528,-0.046003
-0.18977,-0.0078256,-0.0094227
-0.19154,-0.051421,-0.0087353
-0.19144,-0.032301,-0.041743
-0.19137,-0.063926,-0.0029164
-0.1914,-0.029666,-0.068297
-0.19152,-0.034139,-0.048576
-0.19176,-0.028057,-0.026485
-0.19153,-0.03269,-0.012513
-0.1916,-0.016456,-0.051047
-0.19177,-0.041975,-0.052908
-0.19079,-0.013265,0.00028599
-0.19179,-0.053514,-0.0074413
-0.19027,-0.011351,-0.0023207
-0.19115,-0.029093,-0.059386
-0.19203,-0.059557,-0.033716
-0.19196,0.00049206,-0.034348
-0.19149,0.00044743,-0.04146
-0.19132,-0.055437,-0.013729
-0.19204,-0.023639,-0.055475
-0.19144,-0.066101,-0.017199
-0.19208,-0.027154,-0.048289
-0.19155,-0.027177,-0.0065964
-0.19203,-0.033484,-0.059067
-0.19161,-0.041532,-0.031354
-0.19199,-0.040576,-0.024918
-0.19176,-0.0046321,-0.035879
-0.19138,-0.003538,-0.019271
-0.19197,-0.025228,-0.014495
-0.1918,-0.028072,-0.033924
-0.19099,-0.0072835,-0.0063383
-0.1919,-0.052871,-0.0077331
-0.19232,-0.026762,-0.035767
-0.19194,-0.073419,-0.010212
-0.19216,-0.03196,-0.027942
-0.19244,-0.0002449,-0.070364
-0.19251,0.00096141,-0.033846
-0.19261,-0.017872,-0.046292
-0.19209,-0.0497,-0.043687
-0.19255,-0.036143,-0.031544
-0.19138,-0.013413,-0.0040932
-0.19238,-0.053637,-0.0062299
-0.19191,-0.0027304,-0.056986
-0.18184,-0.023219,-0.0015107
-0.19112,-0.0080707,0.0013904
-0.18637,-0.059159,-0.0012882
-0.19208,-0.042155,-0.044429
-0.19275,-0.061076,-0.021345
-0.19274,-0.0026009,-0.051514
-0.19223,-0.0008795,-0.032786
-0.19238,-0.025931,-0.054671
-0.19264,-0.0026891,-0.075665
-0.19281,-0.061288,-0.0047224
-0.19262,-0.067915,-0.024752
-0.19263,-0.066436,-0.019932
-0.19282,-0.053801,-0.023087
-0.19275,-0.019642,-0.02916
-0.19265,-0.025425,-0.022941
-0.18551,-0.069485,-0.0010075
-0.19267,-0.0046047,-0.025132
-0.19302,-0.049887,-0.032556
-0.19291,-0.0016369,-0.043741
-0.19295,-0.0053865,-0.05862
-0.19334,-0.04356,-0.062379
-0.19264,-0.012683,-0.028423
-0.19216,-0.029212,-0.020246
-0.19235,-0.034656,-0.049916
-0.19287,-0.044332,-0.061551
-0.19287,-0.023742,-0.067514
-0.19223,-0.066754,-0.021354
-0.19254,-0.052767,-0.051174
-0.1929,-0.033555,-0.029689
-0.19328,-0.070976,-0.01042
-0.19309,-0.04853,-0.020935
-0.19245,-0.014156,-0.00077278
-0.19267,-0.031217,-0.0015941
-0.19335,-0.057625,-0.034943
-0.19309,-0.031547,-0.030197
-0.19073,-0.030412,-0.000403
-0.19238,-0.013817,-0.015445
-0.19266,-0.0051015,-0.073425
-0.19332,-0.066166,-0.013805
-0.193,-0.025741,-0.041202
-0.19309,-0.0035909,-0.066994
-0.19365,-0.037259,-0.0035293
-0.19371,-0.0067973,-0.057698
-0.19325,-0.036096,-0.062949
-0.19348,-0.017895,-0.069866
-0.19334,-0.0093261,-0.060378
-0.19344,-0.03873,-0.03914
-0.19323,-0.069483,-0.0072148
-0.19364,-0.042917,-0.0085209
-0.19349,-0.009237,-0.043961
