"Points:0","Points:1","Points:2"
-0.18594,-0.034715,-0.067558
-0.18464,-0.074767,-0.01363
-0.18546,-0.075505,-0.0057366
-0.19171,-0.057805,-0.049558
-0.18767,-0.064373,-0.04035
-0.18119,-0.021234,-0.04951
-0.18143,-0.033159,-0.037502
-0.18125,-0.049534,-0.013493
-0.18137,-0.0012086,-0.060234
-0.18141,-0.034148,-0.040292
-0.18177,-0.036932,-0.03071
-0.1818,-0.033337,-0.031328
-0.18167,-0.047449,-0.012085
-0.18143,-0.0070771,-0.034105
-0.18182,-0.0042793,-0.045136
-0.18198,-0.014182,-0.051002
-0.18238,-0.038033,-0.035993
-0.1822,-0.041029,-0.013355
-0.18222,-0.00879,-0.027142
-0.18188,-0.022397,-0.03714
-0.18281,-0.0049651,-0.056166
-0.18248,-0.013641,-0.053223
-0.18245,-0.034837,-0.038137
-0.18154,-0.017588,-0.016492
-0.18258,-0.037655,-0.034613
-0.18255,-0.020344,-0.017926
-0.18273,-0.028785,-0.024083
-0.18247,-0.0042069,-0.054268
-0.18273,-0.038646,-0.020622
-0.1826,-0.023581,-0.042516
-0.18267,-0.0031345,-0.027703
-0.18215,-0.0062983,-0.031921
-0.18263,-0.0077463,-0.045805
-0.18254,-0.037646,-0.01736
-0.18325,-0.0065682,-0.05739
-0.18295,-0.024163,-0.037415
-0.18277,-0.04102,-0.0079629
-0.18301,-0.02591,-0.037575
-0.18252,-0.020934,-0.030813
-0.18309,-0.045296,-0.024414
-0.18366,-0.042226,-0.059632
-0.1861,-0.0063342,-0.075615
-0.18277,-0.036959,-0.010662
-0.18463,-0.022958,-0.07207
-0.1831,-0.013586,-0.043058
-0.18315,-0.012159,-0.034661
-0.18381,-0.068428,-0.019826
-0.18332,-0.030797,-0.02533
-0.18359,-0.045112,-0.0063611
-0.18285,-0.01221,-0.028604
-0.1839,-0.02797,-0.049884
-0.18386,-0.017491,-0.070568
-0.18392,-0.058506,-0.027306
-0.1837,-0.065882,-0.022414
-0.18418,-0.017327,-0.070886
-0.18391,-0.030249,-0.043926
-0.18382,-0.058232,-0.040408
-0.18393,-0.045031,-0.046979
-0.1835,-0.021972,-0.019898
-0.18407,-0.048188,-0.024119
-0.1837,-0.066747,-0.025753
-0.18402,-0.0047911,-0.062683
-0.18429,-0.059887,-0.0042175
-0.18382,-0.020089,-0.051534
-0.18385,-0.0266,-0.016294
-0.18415,-0.03828,-0.011532
-0.18417,-0.051561,-0.03876
-0.18381,-0.038933,-0.041756
-0.18444,-0.0085103,-0.050936
-0.18657,-0.075701,-0.0034629
-0.18399,-0.0075799,-0.054077
-0.18393,-0.061036,-0.011717
-0.18432,-0.007884,-0.061108
-0.18401,-0.010426,-0.043513
-0.18429,-0.02864,-0.013006
-0.18413,-0.047094,-0.010372
-0.1847,-0.064209,-0.006724
-0.18465,-0.05783,-0.021255
-0.18452,-0.073281,-0.0046181
-0.18435,-0.036254,-0.036411
-0.18473,-0.067762,-0.0089138
-0.18478,-0.04895,-0.0096303
-0.1864,-0.01987,-0.072972
-0.18425,-0.013601,-0.037141
-0.18783,-0.044422,-0.061402
-0.18471,-0.035535,-0.03776
-0.18503,-0.070748,-0.011164
-0.18207,-0.013064,-0.011671
-0.18442,-0.039679,-0.0046669
-0.18496,-0.067384,-0.024294
-0.18407,-0.024533,-0.071433
-0.1829,-0.0028471,-0.017621
-0.18296,-0.015644,-0.010514
-0.1839,-0.015275,-0.015011
-0.18535,-0.0095706,-0.066459
-0.18877,-0.073977,-0.016401
-0.18536,-0.0054347,-0.072082
-0.18498,-0.040558,-0.01432
-0.18531,-0.0012428,-0.063195
-0.18536,-0.052496,-0.052045
-0.18561,-0.039258,-0.029028
-0.18548,-0.034934,-0.035203
-0.18505,-0.041774,-0.038225
-0.18487,-0.015322,-0.027234
