"Points:0","Points:1","Points:2"
-0.18463,-0.072414,-0.023663
-0.18524,-0.058482,-0.04868
-0.18571,-0.0061996,-0.075792
-0.18581,-0.040059,-0.064732
-0.18377,-0.072369,-0.023558
-0.19105,-0.070341,-0.029037
-0.18499,-0.030064,-0.069688
-0.18128,-0.022766,-0.049328
-0.18166,4.2487e-05,-0.045283
-0.18158,-0.048925,-0.015383
-0.18571,-0.062137,-0.043307
-0.18164,-0.013288,-0.040846
-0.18156,-0.0062566,-0.033535
-0.18158,-0.025043,-0.025684
-0.1819,-0.044274,-0.016583
-0.18155,-0.013541,-0.038506
-0.18221,-0.016768,-0.039024
-0.18209,-0.030447,-0.01976
-0.18197,-0.01822,-0.025167
-0.18231,-0.021783,-0.044309
-0.18279,-0.039983,-0.020693
-0.18284,0.00055105,-0.039012
-0.1827,-0.030134,-0.029638
-0.18209,-0.0018082,-0.024623
-0.18243,-0.017151,-0.017747
-0.18263,-0.0050552,-0.030692
-0.18317,-0.025703,-0.024132
-0.18393,-0.044735,-0.045423
-0.18314,-0.033822,-0.019183
-0.18309,-0.040595,-0.0054481
-0.18298,-0.019921,-0.010389
-0.1835,-0.023704,-0.028135
-0.1835,-0.01967,-0.035806
-0.18401,-0.06261,-0.026529
-0.18378,-0.031076,-0.044123
-0.1833,-0.022556,-0.027212
-0.18407,-0.058323,-0.0059981
-0.18374,-0.055538,-0.030259
-0.18418,-0.050657,-0.014949
-0.18391,-0.045093,-0.022627
-0.1841,-0.030282,-0.040064
-0.18456,-0.060833,-0.030531
-0.18388,-0.074824,-0.0067387
-0.18436,-0.05377,-0.014078
-0.1825,-0.0025396,-0.020043
-0.18433,-0.033028,-0.058413
-0.1843,-0.041548,-0.015406
-0.1839,-0.036895,-0.065799
-0.18379,-0.012438,-0.030402
-0.18463,-0.0001101,-0.044581
-0.18445,-0.01411,-0.036102
-0.18417,-0.038546,-0.015048
-0.18396,-0.029652,-0.0063407
-0.1845,-0.030278,-0.054235
-0.1846,-0.043421,-0.0051495
-0.18431,-0.015661,-0.020395
-0.18451,-0.01042,-0.039855
-0.18423,-0.064531,-0.0027219
-0.18489,-0.046587,-0.036056
-0.18455,-0.0076408,-0.066091
-0.1849,-0.01312,-0.050083
-0.18514,-0.060321,-0.023946
-0.18457,-0.026876,-0.010841
-0.18468,-0.043408,-0.019633
-0.18385,-0.068727,-0.03119
-0.18459,-0.032798,-0.067274
-0.18498,-0.060426,-0.019808
-0.1851,-0.0027246,-0.048946
-0.18492,-0.0052444,-0.070538
-0.18503,-0.034427,-0.054483
-0.18473,-0.035954,-0.052514
-0.18501,-0.0054083,-0.049427
-0.18536,-0.060491,-0.043904
-0.18538,-0.027081,-0.06269
-0.18508,-0.038989,-0.013321
-0.18472,-0.0041757,-0.073733
-0.18541,-0.068726,-0.025625
-0.18499,-0.05342,-0.042557
-0.18487,-0.017445,-0.052287
-0.18523,-0.05227,-0.016422
-0.18503,-0.02841,-0.0072703
-0.18531,-0.0017042,-0.026347
-0.18494,-0.030203,-0.023013
-0.18489,-0.029618,-0.063979
-0.18523,-0.027826,-0.061872
-0.18537,-0.048111,-0.049825
-0.18539,-0.040639,-0.046615
-0.18525,-0.029723,-0.031588
-0.18528,-0.027698,-0.01085
-0.18576,-0.055744,-0.019837
-0.1855,-0.045255,-0.010662
-0.18511,-0.016624,-0.023627
-0.1853,-0.035497,-0.024936
-0.18539,-0.03007,-0.021041
-0.18598,-0.058123,-0.0097667
-0.18214,0.00033544,-0.012772
-0.18553,-0.049339,-0.0070178
-0.18602,-0.066936,-0.015794
-0.18546,-0.0027119,-0.034874
-0.18567,-0.057262,-0.0037414
-0.18416,-0.004695,-0.017144
-0.1858,-0.017428,-0.022078
-0.18593,-0.019823,-0.037739
-0.1855,-0.01199,-0.0285
-0.18593,-0.032225,-0.028657
-0.18629,-0.022412,-0.037094
-0.18568,-0.064979,-0.034736
-0.18587,-0.030233,-0.042972
-0.18611,-0.058548,-0.013509
-0.18624,-0.068141,-0.027531
-0.18627,-0.016281,-0.046361
-0.18552,-0.028378,-0.060218
-0.18654,-0.040576,-0.048013
-0.18614,-0.017677,-0.064187
-0.18593,-0.03673,-0.0535
-0.18684,-0.071329,-0.009824
-0.18608,-0.039803,-0.042888
-0.18604,-0.062511,-0.016671
-0.1867,-0.061959,-0.026587
-0.18603,-0.034057,-0.038233
-0.18697,-0.024063,-0.068368
-0.18624,0.001395,-0.024621
-0.18668,-0.025007,-0.06161
-0.18671,-0.0034795,-0.054608
-0.18635,-0.058507,-0.045979
-0.18693,-0.064016,-0.013585
-0.18645,-0.038147,-0.029132
-0.18672,-0.03256,-0.04064
-0.18693,-0.00097136,-0.041946
-0.18707,-0.072697,-0.011239
-0.1872,-0.01741,-0.041031
